epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
27,10.908500419616699,9.14119232635498,71.18,1e-05,0.0001,0.0001,1.3056530836105347,9.602847358703613,10.908500419616699,45.02,44.47,42.79,43.99,2.375484717178345,2.358785063934326,2.5275114448547362,2.3410661598205564,1.0,multiplicativeAddition,2025-09-08 21:22:42
28,10.778901670837403,9.057467778015138,71.45,1e-05,0.0001,0.0001,1.2817628635406495,9.4971388092041,10.778901670837403,45.55,44.91,43.25,44.56,2.3479281997680665,2.3359792892456053,2.4931332107543946,2.3200981399536134,1.0,multiplicativeAddition,2025-09-08 21:23:45
29,10.610522037506103,8.953175634765625,71.44,1e-05,0.0001,0.0001,1.246149136352539,9.364372932434081,10.610522037506103,45.86,45.42,43.89,44.91,2.3123955963134764,2.3076401823043824,2.463105961608887,2.281231185913086,1.0,multiplicativeAddition,2025-09-08 21:24:47
30,10.525938537597657,8.870759327697755,71.85,1e-05,0.0001,0.0001,1.2442302852630616,9.281708239746093,10.525938537597657,46.55,45.26,43.98,45.03,2.3000026607513426,2.2844470916748048,2.435186877441406,2.2620715827941895,1.0,multiplicativeAddition,2025-09-08 21:25:55
31,10.38186113433838,8.800231044006347,71.85,1e-05,0.0001,0.0001,1.2229427478790282,9.158918399047852,10.38186113433838,47.13,46.22,44.46,45.48,2.2642917488098147,2.255714736175537,2.41186654548645,2.227045384979248,1.0,multiplicativeAddition,2025-09-08 21:26:58
32,10.297264613342286,8.741648365783691,71.78,1e-05,0.0001,0.0001,1.2273216793060302,9.06994295349121,10.297264613342286,47.13,46.61,44.59,45.82,2.241750121307373,2.2303452152252197,2.3805418590545653,2.217305690765381,1.0,multiplicativeAddition,2025-09-08 21:28:00
33,10.1127126953125,8.66507152709961,71.79,1e-05,0.0001,0.0001,1.1824079906463623,8.93030471496582,10.1127126953125,47.54,47.25,45.07,46.13,2.2069748355865477,2.1929037532806395,2.351431875991821,2.178994284820557,1.0,multiplicativeAddition,2025-09-08 21:29:03
34,10.125977026367188,8.609371243286132,72.05,1e-05,0.0001,0.0001,1.2027917253494262,8.92318532409668,10.125977026367188,48.13,47.29,45.41,46.71,2.2076746562957763,2.1922637462615966,2.3398893623352053,2.1833576164245607,1.0,multiplicativeAddition,2025-09-08 21:30:07
35,9.930366984558106,8.538250471496582,72.2,1e-05,0.0001,0.0001,1.1651399366378785,8.765227032470703,9.930366984558106,48.7,47.84,45.96,47.05,2.164492876815796,2.1537654411315916,2.3076947315216065,2.139273929595947,1.0,multiplicativeAddition,2025-09-08 21:31:11
36,9.875613859558106,8.476054223632813,71.85,1e-05,0.0001,0.0001,1.1562125926971436,8.71940125579834,9.875613859558106,48.87,48.11,46.23,47.51,2.152234259414673,2.1516756855010986,2.2791958881378176,2.136295400619507,1.0,multiplicativeAddition,2025-09-08 21:32:14
