model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,shot_noise,3,N/A,2.56,6.117058590997623,256,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,shot_noise,4,N/A,1.19,6.433507231217396,119,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,shot_noise,5,N/A,1.09,6.59195974808705,109,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,1,N/A,48.81,1.9247996112968349,4881,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,2,N/A,31.58,2.777966801124283,3158,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,3,N/A,13.97,3.917058817947967,1397,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,4,N/A,2.55,5.76436708546892,255,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,5,N/A,1.37,6.339971657040753,137,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,1,N/A,55.44,1.627764958369581,5544,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,2,N/A,53.61,1.714024794252613,5361,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,3,N/A,50.8,1.831195416329782,5080,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,4,N/A,35.05,2.6179801934882057,3505,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,5,N/A,21.94,3.499247454389741,2194,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,1,N/A,57.16,1.5291531976265242,5716,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,2,N/A,56.65,1.5475064078463783,5665,10000,2025-09-08 23:12:50
expert_0,simpleAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,3,N/A,55.65,1.580501376828061,5565,10000,2025-09-08 23:12:50
