model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,shot_noise,4,N/A,1.65,6.30585657192182,165,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,shot_noise,5,N/A,1.24,6.306633194790611,124,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,impulse_noise,1,N/A,48.92,1.8659049498883984,4892,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,impulse_noise,2,N/A,31.72,2.725503275666056,3172,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,impulse_noise,3,N/A,14.83,3.976033274131485,1483,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,impulse_noise,4,N/A,3.11,5.8852553246896475,311,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,impulse_noise,5,N/A,1.53,6.262028706224659,153,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,defocus_blur,1,N/A,55.54,1.5982859496828876,5554,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,defocus_blur,2,N/A,53.46,1.687500433076786,5346,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,defocus_blur,3,N/A,50.72,1.811096515836595,5072,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,defocus_blur,4,N/A,34.61,2.659491237205795,3461,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,defocus_blur,5,N/A,21.31,3.6292537496059754,2131,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,motion_blur,1,N/A,57.43,1.4940921264358713,5743,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,motion_blur,2,N/A,57.39,1.5116547195217278,5739,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,motion_blur,3,N/A,56.39,1.5449291799641862,5639,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,motion_blur,4,N/A,55.53,1.5941222679765918,5553,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,motion_blur,5,N/A,54.26,1.6577896785132493,5426,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,zoom_blur,1,N/A,46.82,1.9861500519740432,4682,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,zoom_blur,2,N/A,39.32,2.4062294280981718,3932,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,zoom_blur,3,N/A,24.68,3.4448875415174265,2468,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,zoom_blur,4,N/A,13.77,4.642026638682885,1377,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,zoom_blur,5,N/A,7.0,5.709648796274692,700,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,snow,1,N/A,43.43,2.181857934480981,4343,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,snow,2,N/A,22.78,3.579363222363629,2278,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,snow,3,N/A,12.14,4.758997373943087,1214,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,snow,4,N/A,7.74,5.433539336240744,774,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,snow,5,N/A,5.55,5.778675954553146,555,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,frost,1,N/A,55.24,1.5907264246216304,5524,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,frost,2,N/A,48.46,1.9248873976212513,4846,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,frost,3,N/A,38.57,2.419431078283093,3857,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,frost,4,N/A,29.8,2.9701175734966614,2980,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,frost,5,N/A,22.55,3.5369272835647005,2255,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,fog,1,N/A,51.99,1.7334131515478786,5199,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,fog,2,N/A,39.71,2.394756738143631,3971,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,fog,3,N/A,27.14,3.247868568082399,2714,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,fog,4,N/A,18.3,4.040849806387214,1830,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,fog,5,N/A,12.67,4.705611337589312,1267,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,brightness,1,N/A,57.75,1.5017682434637336,5775,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,brightness,2,N/A,57.12,1.5240082801142825,5712,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,brightness,3,N/A,56.08,1.5577544984938223,5608,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,brightness,4,N/A,54.62,1.6074498076982136,5462,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,brightness,5,N/A,53.41,1.6662671354752552,5341,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,contrast,1,N/A,57.53,1.4982784624341168,5753,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,contrast,2,N/A,57.1,1.514744508115551,5710,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,contrast,3,N/A,56.31,1.5376218874243242,5631,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,contrast,4,N/A,55.92,1.565655940695654,5592,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,contrast,5,N/A,54.95,1.596970766405516,5495,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,elastic_transform,1,N/A,17.57,4.014792928212805,1757,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,elastic_transform,2,N/A,5.97,6.558708933335316,597,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,elastic_transform,3,N/A,3.81,7.398594125916686,381,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,elastic_transform,4,N/A,3.24,7.6875954519344285,324,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,elastic_transform,5,N/A,2.92,7.867991682849353,292,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,pixelate,1,N/A,5.56,8.240084666240064,556,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,pixelate,2,N/A,3.96,8.0702511268326,396,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,pixelate,3,N/A,1.67,8.180712536920476,167,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,pixelate,4,N/A,1.47,8.093703819226615,147,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,pixelate,5,N/A,1.46,7.15741156928147,146,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,1,N/A,8.9,5.174668499186069,890,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,2,N/A,15.75,4.192090997213049,1575,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,3,N/A,21.83,3.613196979595136,2183,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,4,N/A,34.95,2.6368860232679148,3495,10000,2025-09-08 23:36:22
expert_0,multiplicative,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,5,N/A,50.66,1.8162845116627366,5066,10000,2025-09-08 23:36:22
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,1,N/A,32.51,2.743290551101105,3251,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,2,N/A,18.9,3.7566537736337398,1890,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,3,N/A,11.84,4.684952298297158,1184,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,4,N/A,9.21,5.079476036602938,921,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,5,N/A,7.52,5.437011480331421,752,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,shot_noise,1,N/A,11.71,4.664185490789293,1171,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,shot_noise,2,N/A,4.59,5.976486043085026,459,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,shot_noise,3,N/A,2.14,6.735636023026478,214,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,shot_noise,4,N/A,1.14,7.580190018762516,114,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,shot_noise,5,N/A,1.02,8.213891144040264,102,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,impulse_noise,1,N/A,47.0,1.9109651982029783,4700,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,impulse_noise,2,N/A,27.62,2.902843688107744,2762,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,impulse_noise,3,N/A,10.31,4.365730152854437,1031,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,impulse_noise,4,N/A,1.8,6.627669092975085,180,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,impulse_noise,5,N/A,1.04,7.766024028198628,104,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,defocus_blur,1,N/A,53.79,1.6282365020317366,5379,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,defocus_blur,2,N/A,51.64,1.7310236269914652,5164,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,defocus_blur,3,N/A,48.2,1.8594275924223889,4820,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,defocus_blur,4,N/A,33.09,2.6991849579388583,3309,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,defocus_blur,5,N/A,20.28,3.7080016226708135,2028,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,motion_blur,1,N/A,56.6,1.510878155503092,5660,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,motion_blur,2,N/A,56.38,1.5266203789771358,5638,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,motion_blur,3,N/A,55.22,1.5602308994607081,5522,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,motion_blur,4,N/A,54.15,1.6087153380430197,5415,10000,2025-09-09 00:34:25
