model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,impulse_noise,4,N/A,2.38,5.059531670582445,238,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,impulse_noise,5,N/A,1.24,5.399293621884117,124,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,defocus_blur,1,N/A,52.48,1.8991302478162548,5248,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,defocus_blur,2,N/A,50.87,1.9921506281140484,5087,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,defocus_blur,3,N/A,48.73,2.0960230706613276,4873,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,defocus_blur,4,N/A,33.52,2.76912848557098,3352,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,defocus_blur,5,N/A,20.34,3.4713179039049753,2034,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,motion_blur,1,N/A,54.58,1.7875853641123711,5458,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,motion_blur,2,N/A,54.37,1.8071187040473842,5437,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,motion_blur,3,N/A,53.13,1.838362529307981,5313,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,motion_blur,4,N/A,52.37,1.8772839217246333,5237,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,motion_blur,5,N/A,51.15,1.926725603357146,5115,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,zoom_blur,1,N/A,45.03,2.1643762362154226,4503,10000,2025-09-08 23:16:50
expert_0,TransformerBase,1.0,0,DenseNet121,corruption,N/A,zoom_blur,2,N/A,37.51,2.496544910382621,3751,10000,2025-09-08 23:16:50
