model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,shot_noise,2,N/A,4.27,5.812210215797907,427,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,shot_noise,3,N/A,2.51,6.330326822739613,251,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,shot_noise,4,N/A,1.24,6.537308892117271,124,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,shot_noise,5,N/A,1.24,6.57763839069801,124,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,impulse_noise,1,N/A,47.88,1.9219392824776564,4788,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,impulse_noise,2,N/A,30.03,2.8499418421636653,3003,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,impulse_noise,3,N/A,12.64,4.09884231905394,1264,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,impulse_noise,4,N/A,2.38,5.945708872396735,238,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,impulse_noise,5,N/A,1.34,6.411584866197804,134,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,defocus_blur,1,N/A,54.68,1.6421973660022398,5468,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,defocus_blur,2,N/A,51.91,1.742123674742783,5191,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,defocus_blur,3,N/A,49.55,1.8701243551471565,4955,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,defocus_blur,4,N/A,32.95,2.7348966779588144,3295,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,defocus_blur,5,N/A,19.59,3.6838332822051227,1959,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,motion_blur,1,N/A,56.84,1.527989141548736,5684,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,motion_blur,2,N/A,56.32,1.545732855796814,5632,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,motion_blur,3,N/A,55.48,1.5777188856390458,5548,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,motion_blur,4,N/A,54.59,1.6244445118723037,5459,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,motion_blur,5,N/A,53.61,1.683205000961883,5361,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,zoom_blur,1,N/A,47.15,1.9686268552949158,4715,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,zoom_blur,2,N/A,39.22,2.3793472564673124,3922,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,zoom_blur,3,N/A,24.34,3.3355086604251136,2434,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,zoom_blur,4,N/A,13.17,4.398648956153966,1317,10000,2025-09-08 23:35:14
