epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
10,14.143945329284668,11.88562883605957,72.78,1e-05,0.0001,0.0001,1.5752928066253662,12.56865254058838,14.143945329284668,34.3,33.15,33.48,33.09,3.1429457862854004,3.1213265480041503,3.268366100311279,3.0360141551971433,1.0,TransformerBase,2025-09-08 21:02:38
11,13.751536996459961,11.556546430969238,72.94,1e-05,0.0001,0.0001,1.5148326431274415,12.236704335021972,13.751536996459961,35.16,34.18,33.93,34.12,3.054750863647461,3.0324893573760985,3.1938473178863527,2.955616809463501,1.0,TransformerBase,2025-09-08 21:03:36
12,13.44992280883789,11.294298846435547,72.15,1e-05,0.0001,0.0001,1.4931261232376098,11.956796670532226,13.44992280883789,35.97,34.7,34.3,35.01,2.984219187545776,2.9594765235900877,3.119692177200317,2.8934087703704834,1.0,TransformerBase,2025-09-08 21:04:33
13,13.17644838256836,11.033637408447266,72.63,1e-05,0.0001,0.0001,1.4656205308914185,11.710827856445313,13.17644838256836,36.82,35.83,35.12,35.83,2.9192811031341552,2.897279334259033,3.0650890167236327,2.8291783264160157,1.0,TransformerBase,2025-09-08 21:05:29
14,12.866276252746582,10.817749674987793,72.59,1e-05,0.0001,0.0001,1.4262184812545777,11.440057760620117,12.866276252746582,37.7,36.74,36.3,36.84,2.847603770828247,2.8321923961639404,2.9895586883544922,2.770702868652344,1.0,TransformerBase,2025-09-08 21:06:26
15,12.72351679840088,10.607281846618653,72.6,1e-05,0.0001,0.0001,1.442781677055359,11.280735119628906,12.72351679840088,38.09,37.63,37.05,37.11,2.8144637538909913,2.7852959815979004,2.9566714820861817,2.7243039085388183,1.0,TransformerBase,2025-09-08 21:07:23
16,12.479051776123047,10.452849766540528,72.7,1e-05,0.0001,0.0001,1.4145059896469117,11.064545811462402,12.479051776123047,38.95,38.39,37.62,37.88,2.753278547286987,2.727944889831543,2.903182232284546,2.680140114212036,1.0,TransformerBase,2025-09-08 21:08:21
17,12.251873434448243,10.263827851867676,73.05,1e-05,0.0001,0.0001,1.3807634071350097,10.871110046386718,12.251873434448243,39.94,39.36,38.31,38.71,2.6975232337951662,2.677976239776611,2.8472241596221926,2.6483863960266114,1.0,TransformerBase,2025-09-08 21:09:18
18,11.97136414489746,10.086354409790038,73.62,1e-05,0.0001,0.0001,1.3245559553146362,10.646808184814454,11.97136414489746,40.81,40.17,38.86,38.97,2.6453282485961913,2.619897811508179,2.7996711910247805,2.581910914611816,1.0,TransformerBase,2025-09-08 21:10:16
19,11.76492699584961,9.964994113159179,72.87,1e-05,0.0001,0.0001,1.3005932489395142,10.464333717346191,11.76492699584961,41.16,40.17,39.72,39.22,2.605009478378296,2.580146453857422,2.735281792831421,2.5438960189819335,1.0,TransformerBase,2025-09-08 21:11:13
20,11.584602268981934,9.818211755371093,73.42,1e-05,0.0001,0.0001,1.2896490566253662,10.294953242492676,11.584602268981934,41.78,41.05,39.89,39.81,2.5548900985717773,2.533167748260498,2.696652742767334,2.51024259223938,1.0,TransformerBase,2025-09-08 21:12:12
21,11.490552989196777,9.722205296325683,72.78,1e-05,0.0001,0.0001,1.2742915853500367,10.216261421203614,11.490552989196777,42.8,41.76,40.96,40.62,2.5322652019500733,2.505741470336914,2.683440244674683,2.4948144878387453,1.0,TransformerBase,2025-09-08 21:13:09
22,11.346669009399415,9.59032520751953,73.32,1e-05,0.0001,0.0001,1.2678165081977844,10.078852537536621,11.346669009399415,43.13,42.59,41.49,41.09,2.498175467300415,2.4787114707946776,2.636698164367676,2.4652674865722655,1.0,TransformerBase,2025-09-08 21:14:06
23,11.13546489868164,9.457447047424317,73.21,1e-05,0.0001,0.0001,1.2303711158752442,9.90509377593994,11.13546489868164,43.73,43.1,41.91,41.56,2.4613105213165283,2.4359384090423584,2.588667021942139,2.4191778881072996,1.0,TransformerBase,2025-09-08 21:15:03
24,10.986550622558594,9.361090180969239,73.58,1e-05,0.0001,0.0001,1.2202440341949463,9.766306616210937,10.986550622558594,44.24,43.83,42.32,42.36,2.416118215560913,2.4009733901977537,2.5576380752563477,2.391576926040649,1.0,TransformerBase,2025-09-08 21:16:00
25,10.90703582458496,9.316024253845216,73.15,1e-05,0.0001,0.0001,1.2171465571403504,9.689889253234863,10.90703582458496,44.18,44.43,42.56,42.59,2.4026843448638915,2.3755398777008057,2.536207322692871,2.3754576763153077,1.0,TransformerBase,2025-09-08 21:16:57
26,10.755467082214356,9.20332056274414,73.56,1e-05,0.0001,0.0001,1.1968690166473388,9.558598011779786,10.755467082214356,45.2,44.55,43.5,43.29,2.369601069641113,2.344376014328003,2.5048962593078614,2.3397246410369874,1.0,TransformerBase,2025-09-08 21:17:54
27,10.573529570007324,9.085904132080078,73.69,1e-05,0.0001,0.0001,1.1477916509628296,9.42573790588379,10.573529570007324,45.53,45.33,44.05,44.06,2.3336561889648437,2.313131631088257,2.466557685470581,2.3123924156188966,1.0,TransformerBase,2025-09-08 21:18:52
28,10.428448294067383,9.034065367126464,73.6,1e-05,0.0001,0.0001,1.1399846794128419,9.288463635253907,10.428448294067383,46.27,45.89,43.93,44.83,2.30423380317688,2.268829703903198,2.433646506881714,2.2817536331176758,1.0,TransformerBase,2025-09-08 21:19:49
29,10.39207039489746,8.964071035766601,73.28,1e-05,0.0001,0.0001,1.1561279373168944,9.235942401123047,10.39207039489746,46.44,45.95,44.65,45.15,2.28644249458313,2.2585420959472655,2.4221966201782226,2.2687611473083495,1.0,TransformerBase,2025-09-08 21:20:46
30,10.342661625671386,8.87495776977539,73.22,1e-05,0.0001,0.0001,1.1519474197387696,9.19071417236328,10.342661625671386,46.87,46.59,44.75,45.7,2.27074362449646,2.2533057609558105,2.4047000450134277,2.2619647300720214,1.0,TransformerBase,2025-09-08 21:21:45
31,10.11927653503418,8.830735552978515,73.03,1e-05,0.0001,0.0001,1.1113679817199706,9.007908589172363,10.11927653503418,47.32,47.17,45.12,45.9,2.239602459335327,2.197490508270264,2.3508177448272707,2.2199979579925535,1.0,TransformerBase,2025-09-08 21:22:42
32,10.062226161193848,8.769509887695312,73.4,1e-05,0.0001,0.0001,1.1204155807495118,8.941810528564453,10.062226161193848,47.87,47.58,45.78,46.55,2.2137318019866945,2.186518497467041,2.344204125595093,2.197356104660034,1.0,TransformerBase,2025-09-08 21:23:39
33,9.916761465454101,8.679350291442871,73.34,1e-05,0.0001,0.0001,1.0794821462631226,8.837279292297364,9.916761465454101,48.04,47.9,45.77,46.7,2.186291174697876,2.1708609836578368,2.312610791397095,2.1675162841796873,1.0,TransformerBase,2025-09-08 21:24:35
34,9.807980320739746,8.64980157623291,73.28,1e-05,0.0001,0.0001,1.0549642610549927,8.753016104125976,9.807980320739746,48.33,47.85,45.9,46.8,2.1676393798828126,2.1432125495910643,2.28518540725708,2.1569787502288817,1.0,TransformerBase,2025-09-08 21:25:32
35,9.690208938598634,8.572139956665039,73.37,1e-05,0.0001,0.0001,1.061703557395935,8.62850534362793,9.690208938598634,48.6,48.37,46.44,47.36,2.1260914939880373,2.120769185638428,2.2506929958343505,2.130951706695557,1.0,TransformerBase,2025-09-08 21:26:29
36,9.614685061645508,8.541785403442383,73.49,1e-05,0.0001,0.0001,1.0412208530426026,8.57346420288086,9.614685061645508,49.08,48.84,46.52,47.98,2.111396333694458,2.0976508865356447,2.2491815452575685,2.115235398864746,1.0,TransformerBase,2025-09-08 21:27:25
37,9.584844393920898,8.49024506072998,73.47,1e-05,0.0001,0.0001,1.041259833908081,8.543584550476075,9.584844393920898,49.56,48.91,47.4,48.37,2.116521160888672,2.0968510314941406,2.234542022705078,2.0956703983306886,1.0,TransformerBase,2025-09-08 21:28:22
38,9.476705154418946,8.473179364013673,73.14,1e-05,0.0001,0.0001,1.0314472658157348,8.445257897949219,9.476705154418946,49.51,49.01,47.43,48.77,2.096161228179932,2.0723506237030027,2.2037667758941653,2.072979278945923,1.0,TransformerBase,2025-09-08 21:29:19
39,9.440673530578612,8.393233178710938,73.01,1e-05,0.0001,0.0001,1.0472584205627442,8.393415116882323,9.440673530578612,49.53,48.89,47.75,49.02,2.067518757247925,2.0591799934387205,2.1959988771438597,2.070717484664917,1.0,TransformerBase,2025-09-08 21:30:16
40,9.249922232818603,8.32084186553955,73.49,1e-05,0.0001,0.0001,1.0111919726371765,8.238730278778077,9.249922232818603,50.55,49.61,47.89,49.59,2.0239424713134766,2.0216958490371706,2.1590440689086914,2.034047863960266,1.0,TransformerBase,2025-09-08 21:31:14
41,9.24961028289795,8.280131286621094,73.42,1e-05,0.0001,0.0001,1.0133956626892089,8.23621459350586,9.24961028289795,50.8,49.97,48.2,49.49,2.0376785594940188,2.0161645362854004,2.1529881324768065,2.029383332443237,1.0,TransformerBase,2025-09-08 21:32:11
42,9.039829020690918,8.22601844177246,73.5,1e-05,0.0001,0.0001,0.9705320479393006,8.069296996307372,9.039829020690918,51.17,50.0,48.63,49.79,1.998650650024414,1.9851592555999755,2.099855471801758,1.9856315679550172,1.0,TransformerBase,2025-09-08 21:33:08
43,8.993456282043457,8.168813340759277,73.46,1e-05,0.0001,0.0001,0.9650977560997009,8.028358527374268,8.993456282043457,51.5,50.43,48.63,50.43,1.9737269035339355,1.9734069736480713,2.0932845455169677,1.9879400972366332,1.0,TransformerBase,2025-09-08 21:34:05
44,8.969648977661134,8.18406240081787,73.36,1e-05,0.0001,0.0001,0.9715098885536194,7.998139054870605,8.969648977661134,51.89,50.79,48.57,50.72,1.963370983505249,1.964852346611023,2.0916518672943116,1.9782639177322388,1.0,TransformerBase,2025-09-08 21:35:01
45,8.852170584106446,8.166296537780761,73.2,1e-05,0.0001,0.0001,0.9456689493179321,7.906501626586914,8.852170584106446,52.0,50.85,49.42,50.96,1.9526168874740601,1.943838650894165,2.059892552947998,1.950153482055664,1.0,TransformerBase,2025-09-08 21:35:58
46,8.801216343688965,8.140102256774902,73.07,1e-05,0.0001,0.0001,0.9468160619735718,7.854400294494629,8.801216343688965,51.88,50.85,49.55,50.89,1.937667943763733,1.9197124786376953,2.0486600156784056,1.94835982131958,1.0,TransformerBase,2025-09-08 21:36:54
47,8.7752755569458,8.118425247192382,72.96,1e-05,0.0001,0.0001,0.9630830753326416,7.81219243927002,8.7752755569458,51.99,51.01,49.55,51.06,1.9224185081481933,1.9080067470550537,2.0443993915557863,1.9373678161621093,1.0,TransformerBase,2025-09-08 21:37:50
48,8.603241068267822,8.05894320678711,73.46,1e-05,0.0001,0.0001,0.9165370972633362,7.686704014587402,8.603241068267822,52.7,51.45,49.86,51.6,1.907556723022461,1.8835753286361694,2.00963092212677,1.8859410591125487,1.0,TransformerBase,2025-09-08 21:38:47
