epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
0,22.471260317993163,20.927578356933594,32.01,1e-05,0.0001,0.0001,4.2696581455230715,18.20160219116211,22.471260317993163,16.07,16.22,14.47,16.91,4.549234627532959,4.553596697235108,4.554958113098144,4.54381282043457,1.0,simpleAddition,2025-09-08 20:53:00
1,20.747779440307617,18.95127110900879,53.15,1e-05,0.0001,0.0001,3.1239359188079834,17.62384345703125,20.747779440307617,24.32,25.5,23.89,26.26,4.407846743011475,4.4081808242797855,4.422253765106201,4.38556212310791,1.0,simpleAddition,2025-09-08 20:53:56
2,19.477338165283204,17.605446963500977,60.65,1e-05,0.0001,0.0001,2.5172253067016603,16.960112915039062,19.477338165283204,28.31,28.5,26.85,29.04,4.247858740997314,4.239132864379883,4.269644261169433,4.203477221679687,1.0,simpleAddition,2025-09-08 20:54:53
3,18.484947201538088,16.431471292114256,64.25,1e-05,0.0001,0.0001,2.227706974411011,16.25724025878906,18.484947201538088,29.41,29.49,28.77,29.71,4.078203945922851,4.06382158279419,4.110185148620605,4.005029624938965,1.0,simpleAddition,2025-09-08 20:55:50
4,17.551113552856446,15.382093733215331,65.64,1e-05,0.0001,0.0001,2.044938785362244,15.506174768066407,17.551113552856446,29.91,29.59,29.48,29.98,3.887946684265137,3.872277903366089,3.9396465702056886,3.806303621673584,1.0,simpleAddition,2025-09-08 20:56:47
5,16.758461541748048,14.42379852142334,66.34,1e-05,0.0001,0.0001,1.939709662246704,14.818751844787597,16.758461541748048,30.92,30.1,29.61,30.18,3.7124561168670653,3.7028282096862792,3.7911851135253904,3.6122823505401613,1.0,simpleAddition,2025-09-08 20:57:44
6,16.00815088806152,13.60863470916748,69.17,1e-05,0.0001,0.0001,1.8566104129791259,14.151540478515624,16.00815088806152,31.66,30.17,30.69,31.08,3.5472017467498778,3.533810764312744,3.6378913814544678,3.432636580657959,1.0,simpleAddition,2025-09-08 20:58:41
7,15.374890560913085,12.969628053283692,68.59,1e-05,0.0001,0.0001,1.7891722145080566,13.58571833190918,15.374890560913085,32.56,30.5,31.02,31.4,3.40459987449646,3.388066487121582,3.5094168369293213,3.2836351737976073,1.0,simpleAddition,2025-09-08 20:59:37
8,14.848376748657227,12.46293415374756,68.84,1e-05,0.0001,0.0001,1.7470977764129638,13.101278932189942,14.848376748657227,33.74,31.57,32.04,32.19,3.2768396381378175,3.2682018615722654,3.3959318347930907,3.1603056102752687,1.0,simpleAddition,2025-09-08 21:00:33
9,14.355214582824708,11.961695979309082,69.73,1e-05,0.0001,0.0001,1.6796588565826416,12.675555708312988,14.355214582824708,34.66,32.55,33.15,33.44,3.167827157974243,3.1537464435577394,3.299637865829468,3.0543442195892334,1.0,simpleAddition,2025-09-08 21:01:29
10,13.969717677307129,11.575120726013184,70.2,1e-05,0.0001,0.0001,1.6449482009887695,12.324769537353516,13.969717677307129,35.49,33.64,34.11,34.09,3.074512224578857,3.062065727233887,3.2209273071289064,2.9672643585205076,1.0,simpleAddition,2025-09-08 21:02:28
11,13.589176385498046,11.268855618286134,70.57,1e-05,0.0001,0.0001,1.5978500785827636,11.99132631225586,13.589176385498046,36.32,35.14,35.03,35.15,2.986362875366211,2.979231979370117,3.1360689044952395,2.8896625961303712,1.0,simpleAddition,2025-09-08 21:03:25
