epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
21,12.186449176025391,10.142433319091797,69.17,1e-05,0.0001,0.0001,1.5286851753234862,10.657764001464844,12.186449176025391,41.01,40.42,38.86,39.45,2.648210459136963,2.632183940887451,2.8023367385864257,2.575032822418213,1.0,multiplicativeShifted,2025-09-08 21:16:08
22,12.078064338684083,10.023223754882812,69.07,1e-05,0.0001,0.0001,1.508572528076172,10.569491784667969,12.078064338684083,41.26,40.92,39.25,40.25,2.627394426727295,2.603626622009277,2.783856095123291,2.5546146446228026,1.0,multiplicativeShifted,2025-09-08 21:17:11
23,11.919997413635254,9.905891136169434,69.15,1e-05,0.0001,0.0001,1.4993009326934814,10.420696444702148,11.919997413635254,42.02,41.34,39.87,40.6,2.5879627937316894,2.5714096546173097,2.73941120223999,2.5219127937316896,1.0,multiplicativeShifted,2025-09-08 21:18:13
24,11.651875820922852,9.773309622192382,69.45,1e-05,0.0001,0.0001,1.4310583683013915,10.220817434692384,11.651875820922852,42.82,42.04,40.56,41.35,2.5326503295898437,2.5199231708526613,2.6895370281219484,2.4787069816589353,1.0,multiplicativeShifted,2025-09-08 21:19:18
25,11.584095474243163,9.65163920288086,69.65,1e-05,0.0001,0.0001,1.4367035736083984,10.147391934204101,11.584095474243163,43.39,42.64,41.4,42.21,2.5095814220428467,2.4995388137817383,2.67223805809021,2.4660336296081544,1.0,multiplicativeShifted,2025-09-08 21:20:22
26,11.4089732131958,9.566964532470703,69.78,1e-05,0.0001,0.0001,1.4165507161140443,9.992422549438476,11.4089732131958,43.29,42.59,41.44,42.54,2.473495594024658,2.4630363193511964,2.6284497840881347,2.4274408920288084,1.0,multiplicativeShifted,2025-09-08 21:21:25
27,11.294005976867675,9.464236000061035,69.75,1e-05,0.0001,0.0001,1.4050986753463746,9.88890732421875,11.294005976867675,44.34,43.66,41.91,43.33,2.4488733024597167,2.4298258533477783,2.6050782081604003,2.4051298637390137,1.0,multiplicativeShifted,2025-09-08 21:22:28
28,11.155517665100097,9.372212939453124,69.85,1e-05,0.0001,0.0001,1.3768178451538087,9.778699842834472,11.155517665100097,44.69,44.35,42.2,43.56,2.4191334117889403,2.4036380809783937,2.5708107341766357,2.385117527770996,1.0,multiplicativeShifted,2025-09-08 21:23:32
29,10.974610261535645,9.254356182861327,69.97,1e-05,0.0001,0.0001,1.3278335026741028,9.64677674484253,10.974610261535645,45.35,44.77,42.73,44.42,2.383638035964966,2.3761913732528686,2.539387191390991,2.347560224342346,1.0,multiplicativeShifted,2025-09-08 21:24:36
30,10.888967576599121,9.156789469909668,69.93,1e-05,0.0001,0.0001,1.3243672479629516,9.564600314331054,10.888967576599121,45.91,44.67,43.08,44.25,2.370558316040039,2.354079524612427,2.5130325248718264,2.3269299686431886,1.0,multiplicativeShifted,2025-09-08 21:25:42
