epoch,train_loss,val_loss,val_acc,experts_lr,fusion_lr,global_head_lr,alpha,stage,timestamp
0,0.0,4.639437735080719,0.4,0.0,0.001,0.001,1.0,pre,2025-09-01 22:29:32
1,1.7572788545783138,1.093100443482399,75.0,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:29:49
2,0.8957659803645711,0.9504649713635445,76.9,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:30:06
3,0.7801359027204379,0.9172018840909004,77.6,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:30:23
4,0.7511550784111023,0.9271005764603615,78.2,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:30:39
5,0.6780230125910799,0.9762439355254173,76.4,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:30:56
6,4.834372521286279,0.9234819114208221,78.4,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:32:35
7,3.7164512795041986,0.9781771525740623,78.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:34:14
