epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,3.0485,13.29,2.6676,24.32,0.099996,24.32
2,2.9337,17.09,2.4577,28.44,0.099984,28.44
3,2.8492,19.32,2.286,31.76,0.099964,31.76
4,2.8264,20.3,2.294,32.04,0.099937,32.04
5,2.7699,22.94,2.1186,37.36,0.099901,37.36
6,2.7271,24.25,2.189,37.04,0.099858,37.36
7,2.6848,25.3,2.2564,35.72,0.099807,37.36
8,2.6798,26.12,2.1107,38.96,0.099748,38.96
9,2.6901,25.95,2.0268,41.2,0.099681,41.2
10,2.6517,27.36,2.0703,40.88,0.099606,41.2
11,2.6047,29.12,2.1059,41.76,0.099523,41.76
12,2.6308,26.79,2.0343,43.36,0.099433,43.36
13,2.5794,29.53,1.8724,47.64,0.099334,47.64
14,2.5286,31.18,1.9459,45.68,0.099228,47.64
15,2.5496,30.85,1.7641,51.32,0.099114,51.32
16,2.4941,33.62,1.9035,45.8,0.098993,51.32
17,2.4829,32.14,1.9534,47.24,0.098863,51.32
18,2.5142,31.98,1.8615,48.0,0.098726,51.32
19,2.5343,31.01,1.833,50.0,0.098582,51.32
20,2.4862,32.13,1.8638,48.44,0.098429,51.32
21,2.4588,35.18,1.7839,51.16,0.098269,51.32
22,2.4276,34.75,1.8481,50.4,0.098101,51.32
23,2.4309,36.02,1.92,47.44,0.097926,51.32
24,2.3964,37.19,1.6898,54.48,0.097743,54.48
25,2.4064,36.51,1.6174,55.12,0.097553,55.12
26,2.4197,33.22,1.5702,57.12,0.097355,57.12
27,2.3993,38.11,1.6259,56.56,0.09715,57.12
28,2.382,35.64,1.7794,51.12,0.096937,57.12
29,2.3674,35.78,1.5882,57.48,0.096716,57.48
30,2.3202,39.63,1.4908,60.32,0.096489,60.32
31,2.3591,36.46,1.9168,50.36,0.096254,60.32
32,2.328,38.84,1.5946,56.76,0.096012,60.32
33,2.293,41.34,1.764,52.76,0.095762,60.32
34,2.2998,40.16,1.4863,60.64,0.095505,60.64
35,2.2853,40.79,1.6498,55.32,0.095241,60.64
36,2.3103,36.79,1.7471,54.16,0.09497,60.64
37,2.3624,37.72,1.6202,58.72,0.094692,60.64
38,2.2795,41.2,1.6525,55.52,0.094407,60.64
39,2.2523,41.61,1.3807,64.44,0.094115,64.44
40,2.329,38.3,1.6145,57.12,0.093815,64.44
41,2.2538,39.81,1.4252,63.4,0.093509,64.44
42,2.1811,44.69,1.4724,62.12,0.093196,64.44
43,2.2271,43.58,1.5707,60.56,0.092876,64.44
44,2.2055,42.62,1.4004,63.2,0.09255,64.44
45,2.2518,40.66,1.6764,57.28,0.092216,64.44
46,2.2988,40.1,1.4607,62.0,0.091876,64.44
47,2.2489,42.16,1.6206,57.24,0.09153,64.44
48,2.251,42.49,1.4892,60.44,0.091177,64.44
49,2.22,41.87,1.4362,61.84,0.090817,64.44
50,2.2149,42.91,1.6848,58.2,0.090451,64.44
51,2.2581,39.82,1.5469,63.0,0.090078,64.44
52,2.2391,40.65,1.5119,60.68,0.0897,64.44
53,2.2175,44.67,1.6787,59.2,0.089314,64.44
54,2.2246,43.71,1.621,59.04,0.088923,64.44
55,2.193,43.21,1.3017,66.6,0.088526,66.6
56,2.1975,44.73,1.4529,64.64,0.088122,66.6
57,2.246,43.11,1.6089,58.12,0.087713,66.6
58,2.1467,46.68,1.499,61.64,0.087297,66.6
59,2.2181,43.64,1.5272,60.68,0.086876,66.6
60,2.1883,44.45,1.4923,62.08,0.086448,66.6
61,2.1684,46.2,1.4717,62.64,0.086015,66.6
62,2.1665,45.32,1.6484,57.44,0.085577,66.6
63,2.1517,42.06,1.3775,65.04,0.085132,66.6
64,2.1997,42.93,1.5567,60.52,0.084683,66.6
65,2.166,44.56,1.4594,63.6,0.084227,66.6
66,2.1904,45.7,1.4767,63.84,0.083767,66.6
67,2.1485,43.39,1.4512,65.08,0.083301,66.6
68,2.2023,43.58,1.2642,68.12,0.082829,68.12
69,2.1791,42.72,1.2977,67.32,0.082353,68.12
70,2.1656,44.96,1.5532,61.16,0.081871,68.12
71,2.1929,43.59,1.3148,66.44,0.081385,68.12
72,2.1887,42.91,1.4732,62.2,0.080893,68.12
73,2.1642,44.77,1.4359,64.36,0.080397,68.12
74,2.1454,45.79,1.3413,65.92,0.079895,68.12
75,2.1418,46.14,1.5223,62.52,0.079389,68.12
76,2.0941,47.66,1.3362,66.68,0.078879,68.12
77,2.1206,48.53,1.3447,65.64,0.078363,68.12
78,2.1829,43.7,1.3185,67.04,0.077844,68.12
79,2.1136,43.9,1.2825,66.6,0.07732,68.12
80,2.1273,47.24,1.4061,63.04,0.076791,68.12
81,2.1493,44.29,1.2739,67.64,0.076259,68.12
82,2.1386,46.67,1.3085,67.84,0.075722,68.12
83,2.0835,47.06,1.4145,63.32,0.075181,68.12
84,2.0481,50.15,1.338,65.88,0.074636,68.12
85,2.1148,44.48,1.4384,62.72,0.074088,68.12
86,2.1259,43.7,1.2355,68.8,0.073535,68.8
87,2.0526,48.69,1.2911,67.92,0.072979,68.8
88,2.0646,50.2,1.2805,68.56,0.072419,68.8
89,2.1149,47.41,1.3948,64.72,0.071856,68.8
90,2.0807,46.58,1.3752,66.48,0.071289,68.8
91,2.1636,45.18,1.2182,69.68,0.070719,69.68
92,2.0352,49.03,1.1725,71.24,0.070145,71.24
93,2.0793,48.49,1.2154,69.6,0.069569,71.24
94,2.0529,48.93,1.2581,67.72,0.068989,71.24
95,2.0691,48.74,1.518,62.48,0.068406,71.24
96,2.0659,48.19,1.1563,71.96,0.067821,71.96
97,2.0316,49.32,1.2399,69.6,0.067232,71.96
98,2.0566,48.1,1.4092,64.24,0.066641,71.96
99,2.0808,46.68,1.3364,67.24,0.066047,71.96
100,2.0318,47.84,1.251,69.04,0.065451,71.96
101,2.0549,49.45,1.5675,61.4,0.064852,71.96
102,2.1026,47.79,1.1974,70.92,0.064251,71.96
103,2.0718,48.56,1.3094,67.44,0.063648,71.96
104,2.0435,49.69,1.3674,65.68,0.063042,71.96
105,2.0391,48.97,1.2855,68.52,0.062434,71.96
106,2.0063,49.36,1.1868,70.72,0.061825,71.96
107,1.9899,51.6,1.2692,68.4,0.061214,71.96
108,2.015,49.63,1.54,60.24,0.0606,71.96
109,2.0528,48.66,1.307,68.72,0.059985,71.96
110,1.9944,52.8,1.1391,72.8,0.059369,72.8
