epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,3.1665,9.42,3.0902,14.2,0.099996,14.2
2,3.0723,12.87,2.7934,21.08,0.099984,21.08
3,3.0252,15.09,2.7732,22.8,0.099964,22.8
4,2.9781,15.79,2.7158,23.6,0.099937,23.6
5,2.9476,17.23,3.818,17.36,0.099901,23.6
6,2.9103,18.11,2.5403,29.6,0.099858,29.6
7,2.8687,20.35,2.4729,33.04,0.099807,33.04
8,2.8382,21.75,2.661,27.68,0.099748,33.04
9,2.8019,22.49,2.3489,34.36,0.099681,34.36
10,2.7614,23.23,2.3128,35.48,0.099606,35.48
11,2.7145,25.85,2.2664,38.64,0.099523,38.64
12,2.7428,24.72,2.2617,37.64,0.099433,38.64
13,2.7034,25.28,2.3809,33.76,0.099334,38.64
14,2.6813,25.82,2.2374,40.44,0.099228,40.44
15,2.657,28.13,2.4165,36.28,0.099114,40.44
16,2.6229,28.45,1.9453,45.72,0.098993,45.72
17,2.6442,29.53,1.9095,48.16,0.098863,48.16
18,2.5731,30.82,2.2602,42.52,0.098726,48.16
19,2.5781,30.36,1.8358,50.64,0.098582,50.64
20,2.5697,31.91,2.4717,39.56,0.098429,50.64
21,2.5508,32.04,2.115,41.96,0.098269,50.64
22,2.5443,31.81,2.3627,37.52,0.098101,50.64
23,2.4848,33.94,1.7374,53.4,0.097926,53.4
24,2.5326,31.73,1.68,54.92,0.097743,54.92
25,2.5089,32.56,1.9104,52.36,0.097553,54.92
26,2.4792,32.63,1.6732,55.44,0.097355,55.44
27,2.4346,35.87,1.8641,51.56,0.09715,55.44
28,2.4103,36.72,2.586,34.8,0.096937,55.44
29,2.4273,37.41,1.6993,54.48,0.096716,55.44
30,2.3892,37.59,1.6075,58.2,0.096489,58.2
31,2.4089,37.72,1.6878,55.48,0.096254,58.2
32,2.3604,39.44,1.854,51.36,0.096012,58.2
33,2.3737,39.59,1.7847,53.76,0.095762,58.2
34,2.3992,36.24,1.6254,57.16,0.095505,58.2
35,2.3871,36.28,1.8714,51.44,0.095241,58.2
36,2.3868,38.04,1.7114,55.4,0.09497,58.2
37,2.3595,38.68,1.8063,53.16,0.094692,58.2
38,2.3136,39.35,1.8843,51.88,0.094407,58.2
39,2.3612,38.48,2.2217,42.72,0.094115,58.2
40,2.31,39.42,1.5879,59.48,0.093815,59.48
41,2.3012,39.71,1.7797,54.72,0.093509,59.48
42,2.3018,41.13,1.9083,51.52,0.093196,59.48
43,2.3188,39.83,1.6751,56.44,0.092876,59.48
44,2.4093,36.13,1.6028,59.36,0.09255,59.48
45,2.3608,39.12,1.7217,56.48,0.092216,59.48
46,2.3119,41.33,2.1977,45.48,0.091876,59.48
47,2.2995,40.52,1.5358,61.28,0.09153,61.28
48,2.321,38.98,1.953,52.48,0.091177,61.28
49,2.2456,41.24,1.7684,55.36,0.090817,61.28
50,2.3385,41.85,1.7912,54.64,0.090451,61.28
51,2.2994,40.98,1.8801,52.88,0.090078,61.28
52,2.2789,40.99,1.7423,56.88,0.0897,61.28
53,2.2918,41.0,1.8786,54.8,0.089314,61.28
54,2.3239,41.69,1.7304,56.88,0.088923,61.28
55,2.286,40.22,1.562,59.44,0.088526,61.28
56,2.3053,41.11,1.5328,61.96,0.088122,61.96
57,2.2778,40.98,1.9664,50.12,0.087713,61.96
58,2.2297,41.58,1.4983,61.72,0.087297,61.96
59,2.2573,42.94,1.6893,58.76,0.086876,61.96
60,2.2646,41.03,1.3674,66.64,0.086448,66.64
61,2.2537,44.11,1.5795,61.48,0.086015,66.64
62,2.2745,38.77,1.3422,66.44,0.085577,66.64
63,2.2386,42.64,1.7638,57.72,0.085132,66.64
64,2.2434,42.54,1.7147,57.12,0.084683,66.64
65,2.2107,45.76,1.5604,62.96,0.084227,66.64
66,2.2375,42.41,1.6516,57.88,0.083767,66.64
67,2.2302,43.87,1.6828,60.28,0.083301,66.64
68,2.2452,44.43,1.4721,63.04,0.082829,66.64
69,2.2281,44.09,1.7623,57.84,0.082353,66.64
70,2.2449,42.42,1.5,63.6,0.081871,66.64
71,2.2418,44.23,1.4436,64.04,0.081385,66.64
72,2.2007,44.13,1.6059,61.12,0.080893,66.64
73,2.2565,44.57,1.408,64.96,0.080397,66.64
74,2.2172,44.35,1.3235,67.72,0.079895,67.72
75,2.1976,44.71,1.6648,57.36,0.079389,67.72
76,2.1632,48.44,1.5099,61.36,0.078879,67.72
77,2.1762,45.94,1.6975,58.4,0.078363,67.72
78,2.1626,45.11,1.4447,63.68,0.077844,67.72
79,2.1518,47.54,1.7199,57.8,0.07732,67.72
80,2.1994,45.56,1.7297,58.4,0.076791,67.72
81,2.2082,44.2,1.3687,66.72,0.076259,67.72
82,2.1123,50.79,1.3741,67.4,0.075722,67.72
83,2.1604,47.72,1.588,60.44,0.075181,67.72
84,2.1644,45.14,1.4984,62.2,0.074636,67.72
85,2.1191,47.38,1.4597,64.0,0.074088,67.72
86,2.1929,46.32,1.2762,69.28,0.073535,69.28
87,2.0866,47.95,1.5119,61.84,0.072979,69.28
88,2.1426,48.91,1.6565,60.48,0.072419,69.28
89,2.097,49.77,1.3645,66.68,0.071856,69.28
90,2.158,46.75,1.6798,58.92,0.071289,69.28
91,2.1477,48.74,1.7718,54.04,0.070719,69.28
92,2.1024,48.83,1.3264,68.32,0.070145,69.28
93,2.1693,46.45,1.2369,71.12,0.069569,71.12
94,2.1563,45.37,1.3802,67.16,0.068989,71.12
95,2.1054,47.21,1.4965,64.8,0.068406,71.12
96,2.0977,48.29,1.739,59.6,0.067821,71.12
97,2.0773,48.97,1.7581,57.24,0.067232,71.12
98,2.0277,49.72,1.522,63.16,0.066641,71.12
99,2.1471,46.95,1.3323,69.16,0.066047,71.12
100,2.1213,47.47,1.3836,66.2,0.065451,71.12
101,2.0401,50.33,1.2942,68.76,0.064852,71.12
102,2.0603,47.48,1.188,72.36,0.064251,72.36
103,2.0955,49.46,1.5966,61.44,0.063648,72.36
104,2.126,47.58,1.2803,70.12,0.063042,72.36
105,2.1404,48.75,1.3749,68.2,0.062434,72.36
106,2.0275,52.93,1.2624,69.44,0.061825,72.36
107,2.067,49.32,1.193,72.68,0.061214,72.68
108,2.0941,50.36,1.3526,68.08,0.0606,72.68
109,2.0207,52.7,1.4663,66.44,0.059985,72.68
110,2.0288,53.44,1.3342,68.2,0.059369,72.68
111,2.084,49.68,1.4092,67.76,0.058751,72.68
112,2.0518,50.67,1.2894,70.2,0.058132,72.68
113,2.0782,50.81,1.2539,70.12,0.057511,72.68
114,1.9846,51.21,1.2494,71.32,0.05689,72.68
115,2.0699,50.1,1.3423,68.8,0.056267,72.68
116,2.0324,51.53,1.4576,65.96,0.055643,72.68
117,2.0104,52.09,1.3416,69.24,0.055018,72.68
118,2.0804,48.59,1.2989,70.8,0.054393,72.68
119,2.0694,50.75,1.4243,65.0,0.053766,72.68
120,2.0165,49.45,1.0758,77.0,0.05314,77.0
121,1.9865,51.51,1.2033,72.4,0.052512,77.0
122,2.0202,49.56,1.2707,70.8,0.051885,77.0
123,2.013,50.99,1.1776,73.28,0.051257,77.0
124,2.0043,52.2,1.2519,71.48,0.050628,77.0
125,2.0043,52.28,1.2521,70.24,0.05,77.0
126,1.9688,50.33,1.5711,62.48,0.049372,77.0
127,2.016,51.78,1.2263,72.16,0.048743,77.0
128,1.993,54.49,1.2532,71.36,0.048115,77.0
129,2.0036,49.96,1.2526,71.2,0.047488,77.0
130,2.0042,50.03,1.2111,71.36,0.04686,77.0
131,1.9477,53.45,1.156,73.48,0.046234,77.0
132,1.9816,53.41,1.1386,73.72,0.045607,77.0
133,1.9754,53.08,1.1203,75.44,0.044982,77.0
134,1.954,54.11,1.1801,71.8,0.044357,77.0
135,1.8837,52.63,1.4643,66.16,0.043733,77.0
136,1.9496,52.95,1.4433,66.24,0.04311,77.0
137,1.9933,51.39,1.146,74.96,0.042489,77.0
138,1.9224,55.75,1.0495,77.64,0.041868,77.64
139,1.9376,55.7,1.0919,76.4,0.041249,77.64
140,1.9186,54.02,1.1746,73.88,0.040631,77.64
141,1.9624,53.84,1.0466,76.64,0.040015,77.64
142,1.9153,55.41,1.0929,76.8,0.0394,77.64
143,1.905,55.64,1.2173,71.6,0.038786,77.64
144,1.9105,55.17,1.1051,75.88,0.038175,77.64
145,1.8445,55.68,1.1206,74.88,0.037566,77.64
146,1.945,54.54,1.0713,77.08,0.036958,77.64
147,1.898,57.56,0.9857,80.28,0.036352,80.28
148,1.8367,57.7,1.0615,77.28,0.035749,80.28
149,1.9255,56.02,1.0195,78.0,0.035148,80.28
150,1.8465,59.47,0.9696,80.08,0.034549,80.28
151,1.8893,56.56,1.0241,77.76,0.033953,80.28
152,1.8081,58.81,0.9573,79.8,0.033359,80.28
153,1.8738,59.06,1.1058,75.96,0.032768,80.28
154,1.7597,61.1,1.0012,79.32,0.032179,80.28
155,1.8351,55.46,1.0381,77.24,0.031594,80.28
156,1.8847,54.86,0.9707,79.92,0.031011,80.28
157,1.9136,52.75,1.043,78.44,0.030431,80.28
158,1.9126,54.43,0.9369,81.12,0.029855,81.12
159,1.8853,57.96,1.1072,75.48,0.029281,81.12
160,1.7697,60.3,0.9743,79.08,0.028711,81.12
161,1.8065,62.26,0.9822,80.32,0.028144,81.12
162,1.7784,59.7,0.9676,80.36,0.027581,81.12
163,1.8185,61.39,1.0053,78.92,0.027021,81.12
164,1.7813,60.09,1.0304,78.76,0.026465,81.12
165,1.786,58.72,0.9509,81.12,0.025912,81.12
166,1.8161,57.18,1.0178,78.56,0.025364,81.12
167,1.8239,57.94,0.9502,81.04,0.024819,81.12
168,1.732,61.62,0.9572,80.76,0.024278,81.12
169,1.6896,63.68,0.9544,80.84,0.023741,81.12
170,1.7593,63.09,0.8889,82.6,0.023209,82.6
171,1.7938,58.82,0.9946,79.2,0.02268,82.6
172,1.723,61.9,0.9065,82.4,0.022156,82.6
173,1.7694,58.43,0.8982,82.32,0.021637,82.6
174,1.774,61.17,0.8733,83.36,0.021121,83.36
175,1.7677,59.61,0.9121,82.24,0.020611,83.36
176,1.7257,59.99,0.9084,81.96,0.020105,83.36
177,1.6974,66.54,0.8673,83.56,0.019603,83.56
178,1.7773,58.57,0.9422,82.28,0.019107,83.56
179,1.731,61.9,0.8999,81.76,0.018615,83.56
180,1.7849,60.19,0.8674,83.4,0.018129,83.56
181,1.7031,64.84,0.8763,83.8,0.017647,83.8
182,1.6897,61.82,0.8734,83.36,0.017171,83.8
183,1.6477,65.36,0.8835,83.24,0.016699,83.8
184,1.6819,63.63,0.8831,83.36,0.016233,83.8
