epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,3.1805,7.76,3.0177,13.84,0.099996,13.84
2,3.0934,11.39,2.7955,21.32,0.099984,21.32
3,3.0191,14.28,2.6397,25.08,0.099964,25.08
4,2.9744,16.03,2.5634,25.04,0.099937,25.08
5,2.9057,17.65,2.3567,31.68,0.099901,31.68
6,2.8514,19.52,2.3254,34.36,0.099858,34.36
7,2.8187,20.49,2.2428,37.0,0.099807,37.0
8,2.7909,22.16,2.2137,37.88,0.099748,37.88
9,2.7794,22.45,2.3671,33.04,0.099681,37.88
10,2.7527,22.67,2.4159,33.72,0.099606,37.88
11,2.724,24.1,2.0377,43.76,0.099523,43.76
12,2.6521,26.66,2.1699,39.0,0.099433,43.76
13,2.6721,27.1,1.962,46.24,0.099334,46.24
14,2.5947,26.72,2.2794,35.68,0.099228,46.24
15,2.5331,29.57,1.8404,50.56,0.099114,50.56
16,2.5273,30.51,1.81,49.2,0.098993,50.56
17,2.5331,31.59,2.0618,45.12,0.098863,50.56
18,2.4448,34.78,2.163,42.16,0.098726,50.56
19,2.4428,34.97,1.8542,50.44,0.098582,50.56
20,2.3889,36.6,1.4655,61.8,0.098429,61.8
21,2.3842,36.66,1.5364,59.24,0.098269,61.8
22,2.3769,37.23,1.7583,52.96,0.098101,61.8
23,2.3234,36.86,1.5161,61.44,0.097926,61.8
24,2.3629,36.72,1.3862,65.8,0.097743,65.8
25,2.3271,39.53,1.4323,63.2,0.097553,65.8
26,2.3399,39.89,1.349,67.56,0.097355,67.56
27,2.3232,37.95,1.4294,62.64,0.09715,67.56
28,2.2969,39.74,1.4068,64.68,0.096937,67.56
29,2.2686,42.2,1.4683,62.68,0.096716,67.56
30,2.2482,42.14,1.3426,66.96,0.096489,67.56
31,2.3379,37.11,1.4186,65.16,0.096254,67.56
32,2.2131,41.81,1.229,70.12,0.096012,70.12
33,2.1463,44.14,1.273,69.12,0.095762,70.12
34,2.168,47.31,1.3553,66.48,0.095505,70.12
35,2.2026,42.93,1.1638,72.88,0.095241,72.88
36,2.2204,42.41,1.2826,68.72,0.09497,72.88
37,2.225,43.48,1.3193,67.48,0.094692,72.88
38,2.1922,42.56,1.3976,65.52,0.094407,72.88
39,2.1396,45.09,1.1751,73.44,0.094115,73.44
40,2.1454,46.22,1.1026,75.96,0.093815,75.96
41,2.2097,43.74,1.3571,67.48,0.093509,75.96
42,2.1803,41.93,1.2466,71.48,0.093196,75.96
43,2.1561,45.25,1.099,75.92,0.092876,75.96
44,2.1999,44.26,1.1419,74.44,0.09255,75.96
45,2.0924,46.73,1.1292,74.2,0.092216,75.96
46,2.1279,46.98,1.1023,75.44,0.091876,75.96
47,2.12,45.53,1.1441,74.0,0.09153,75.96
48,2.1342,45.37,1.1642,73.12,0.091177,75.96
49,2.107,46.36,1.1447,76.2,0.090817,76.2
50,2.1395,44.64,1.0779,76.04,0.090451,76.2
51,2.1002,46.68,1.2319,70.88,0.090078,76.2
52,2.0411,50.24,1.0604,77.2,0.0897,77.2
53,2.0091,50.33,1.0905,74.36,0.089314,77.2
54,2.125,43.28,1.1491,73.12,0.088923,77.2
55,1.9893,54.06,1.181,72.6,0.088526,77.2
56,2.0517,50.68,1.115,74.84,0.088122,77.2
57,2.1365,46.39,1.0261,77.8,0.087713,77.8
58,2.0476,49.96,1.1631,73.56,0.087297,77.8
59,2.0668,47.34,1.0517,78.44,0.086876,78.44
60,2.0688,49.62,0.979,79.92,0.086448,79.92
61,2.0056,49.75,1.0266,78.28,0.086015,79.92
62,2.0622,47.49,1.2595,71.4,0.085577,79.92
63,2.0105,50.06,1.0507,76.2,0.085132,79.92
64,2.0163,48.97,1.1126,73.96,0.084683,79.92
65,2.0035,49.88,1.0621,76.84,0.084227,79.92
66,2.029,46.88,1.1034,76.0,0.083767,79.92
67,2.0068,50.1,1.0913,77.16,0.083301,79.92
68,1.9803,52.0,1.0362,77.76,0.082829,79.92
69,2.1052,45.45,1.0442,77.96,0.082353,79.92
70,1.9808,51.68,1.1119,75.88,0.081871,79.92
71,2.0398,50.9,1.1604,73.2,0.081385,79.92
72,2.0047,49.9,1.1318,74.32,0.080893,79.92
73,2.0263,46.5,1.114,76.32,0.080397,79.92
74,2.0056,50.8,1.0491,77.6,0.079895,79.92
75,1.9711,52.87,1.0575,76.4,0.079389,79.92
76,2.0149,50.04,1.0572,77.68,0.078879,79.92
77,1.9039,53.92,1.0359,78.08,0.078363,79.92
78,2.0409,49.44,0.976,80.76,0.077844,80.76
79,2.0019,49.63,1.0614,77.72,0.07732,80.76
80,1.9863,51.18,1.0147,78.84,0.076791,80.76
81,1.9979,48.13,1.0456,77.56,0.076259,80.76
82,1.9454,49.37,0.9947,78.52,0.075722,80.76
83,1.9455,55.45,0.8952,81.68,0.075181,81.68
84,1.9663,50.66,0.9286,80.96,0.074636,81.68
85,1.9635,52.37,1.0209,77.76,0.074088,81.68
86,1.9686,51.26,1.0424,77.76,0.073535,81.68
87,1.9225,54.05,0.9707,80.2,0.072979,81.68
88,1.9852,47.92,1.0431,76.92,0.072419,81.68
89,1.8918,53.66,1.0495,76.88,0.071856,81.68
90,1.9537,51.86,0.88,82.92,0.071289,82.92
91,1.999,48.47,1.0197,78.76,0.070719,82.92
92,1.9371,52.53,1.0786,75.2,0.070145,82.92
93,1.9345,52.5,1.0279,78.32,0.069569,82.92
94,1.8946,55.46,0.8732,83.92,0.068989,83.92
95,1.8896,52.16,1.0184,78.28,0.068406,83.92
96,1.9721,51.87,1.085,75.88,0.067821,83.92
97,1.8973,52.75,0.9509,82.24,0.067232,83.92
98,1.9783,52.08,0.8781,82.72,0.066641,83.92
