epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
110,1.9576,53.41,1.1244,74.04,0.059369,77.4
111,2.0168,52.93,1.2657,68.68,0.058751,77.4
112,1.9519,54.89,1.0565,76.4,0.058132,77.4
113,1.992,53.81,1.1421,73.76,0.057511,77.4
114,2.0237,49.3,1.0537,76.68,0.05689,77.4
115,1.955,49.02,1.0663,75.4,0.056267,77.4
116,1.9702,52.16,1.1807,72.76,0.055643,77.4
117,1.9742,54.17,1.0604,76.16,0.055018,77.4
118,2.0206,48.95,1.056,75.72,0.054393,77.4
119,1.9655,52.01,1.0935,75.44,0.053766,77.4
120,1.9024,56.77,1.0177,77.64,0.05314,77.64
121,1.8785,56.24,1.1088,74.44,0.052512,77.64
122,1.9523,55.16,1.0112,78.4,0.051885,78.4
123,2.0059,52.21,1.0306,76.6,0.051257,78.4
124,1.9626,51.51,1.0628,75.6,0.050628,78.4
125,1.971,51.46,1.0281,76.68,0.05,78.4
126,1.9108,57.2,1.0931,74.56,0.049372,78.4
127,1.9135,57.27,0.9581,79.12,0.048743,79.12
128,1.9907,50.99,1.1674,72.64,0.048115,79.12
129,1.9429,54.41,1.087,74.8,0.047488,79.12
130,1.8816,55.76,0.9871,78.08,0.04686,79.12
131,1.8679,55.22,0.9307,80.28,0.046234,80.28
132,1.9078,55.92,1.1892,72.28,0.045607,80.28
133,1.928,51.94,0.9224,80.92,0.044982,80.92
134,1.8723,58.62,0.8944,81.6,0.044357,81.6
135,1.8797,55.1,1.0025,78.12,0.043733,81.6
136,1.8195,55.82,0.9811,78.92,0.04311,81.6
137,1.885,57.95,1.1082,75.88,0.042489,81.6
138,1.9426,55.12,0.9364,80.24,0.041868,81.6
139,1.865,55.67,0.9331,80.24,0.041249,81.6
140,1.8688,56.13,0.9157,81.64,0.040631,81.64
141,1.8875,55.52,0.9311,81.04,0.040015,81.64
142,1.863,56.33,1.0534,76.16,0.0394,81.64
143,1.8806,53.8,0.9526,79.0,0.038786,81.64
144,1.8534,53.97,0.9941,77.88,0.038175,81.64
145,1.8275,56.98,0.8719,82.4,0.037566,82.4
146,1.8286,56.69,1.0418,76.92,0.036958,82.4
147,1.8087,60.1,0.8633,83.16,0.036352,83.16
148,1.7809,58.56,0.8773,82.2,0.035749,83.16
149,1.8361,56.88,1.0416,77.92,0.035148,83.16
150,1.7684,60.71,0.9542,79.48,0.034549,83.16
151,1.8231,54.29,0.8618,82.24,0.033953,83.16
152,1.8529,56.44,0.9041,80.92,0.033359,83.16
153,1.8108,59.39,0.9462,80.16,0.032768,83.16
154,1.7472,57.75,0.8749,82.48,0.032179,83.16
155,1.8335,55.27,0.9473,80.32,0.031594,83.16
156,1.7571,60.59,0.8898,81.88,0.031011,83.16
157,1.8046,59.64,0.9313,80.8,0.030431,83.16
158,1.756,61.89,0.9007,81.4,0.029855,83.16
159,1.7104,61.95,0.8455,82.84,0.029281,83.16
160,1.7234,62.46,0.9137,81.6,0.028711,83.16
161,1.7419,59.76,0.8452,83.76,0.028144,83.76
162,1.7183,64.17,0.8846,82.12,0.027581,83.76
163,1.7313,63.12,0.8535,83.96,0.027021,83.96
164,1.7014,61.11,0.8811,83.28,0.026465,83.96
165,1.7044,61.23,0.9159,81.16,0.025912,83.96
166,1.7002,63.87,0.8542,83.4,0.025364,83.96
167,1.7542,62.31,0.8644,83.0,0.024819,83.96
168,1.6608,62.53,0.8082,85.04,0.024278,85.04
169,1.6989,63.88,0.87,83.0,0.023741,85.04
170,1.7058,60.99,0.7907,85.4,0.023209,85.4
171,1.7321,60.89,0.7708,85.92,0.02268,85.92
172,1.6746,60.99,0.8387,84.28,0.022156,85.92
173,1.6615,64.51,0.7701,85.64,0.021637,85.92
174,1.6372,65.67,0.8358,84.68,0.021121,85.92
175,1.6738,62.11,0.8542,82.92,0.020611,85.92
176,1.6391,63.38,0.8097,85.0,0.020105,85.92
177,1.6446,67.68,0.859,83.08,0.019603,85.92
178,1.644,63.51,0.7885,85.76,0.019107,85.92
179,1.6918,62.47,0.7825,86.8,0.018615,86.8
180,1.7146,60.83,0.7541,87.56,0.018129,87.56
181,1.6051,64.89,0.78,85.68,0.017647,87.56
182,1.6318,65.18,0.791,86.48,0.017171,87.56
183,1.6312,63.02,0.8625,83.48,0.016699,87.56
184,1.6146,67.83,0.7712,86.2,0.016233,87.56
185,1.6105,61.09,0.7557,86.56,0.015773,87.56
186,1.6286,63.68,0.7764,85.96,0.015317,87.56
187,1.6557,59.39,0.7614,86.24,0.014868,87.56
188,1.623,62.46,0.7267,87.84,0.014423,87.84
189,1.5894,68.01,0.7731,86.48,0.013985,87.84
190,1.5323,70.3,0.7989,84.84,0.013552,87.84
191,1.5654,66.43,0.7615,86.4,0.013124,87.84
192,1.5958,66.93,0.7933,85.96,0.012703,87.84
193,1.6161,63.46,0.7581,86.52,0.012287,87.84
194,1.5889,66.97,0.7424,86.84,0.011878,87.84
195,1.5556,71.54,0.7578,86.52,0.011474,87.84
196,1.6007,62.28,0.7423,88.16,0.011077,88.16
197,1.5814,62.92,0.7587,86.28,0.010686,88.16
198,1.5903,66.01,0.7621,86.4,0.0103,88.16
199,1.6404,64.33,0.7576,86.92,0.009922,88.16
200,1.5649,65.98,0.7636,86.0,0.009549,88.16
201,1.5309,70.73,0.7418,86.96,0.009183,88.16
202,1.5328,71.22,0.7578,87.04,0.008823,88.16
203,1.5344,68.54,0.7494,87.32,0.00847,88.16
204,1.5061,69.28,0.7013,88.32,0.008124,88.32
205,1.5398,66.04,0.7045,88.4,0.007784,88.4
206,1.5196,67.7,0.7365,87.4,0.00745,88.4
207,1.5709,62.22,0.734,88.36,0.007124,88.4
208,1.4831,72.61,0.7133,88.48,0.006804,88.48
209,1.5496,64.32,0.6953,88.24,0.006491,88.48
210,1.5359,67.85,0.737,88.12,0.006185,88.48
211,1.5214,70.82,0.7263,87.88,0.005885,88.48
212,1.5302,65.38,0.7094,88.76,0.005593,88.76
213,1.4753,70.58,0.7002,89.16,0.005308,89.16
214,1.5262,66.36,0.7197,88.64,0.00503,89.16
215,1.5018,69.03,0.6874,89.36,0.004759,89.36
216,1.5259,65.26,0.7059,88.84,0.004495,89.36
217,1.5057,65.36,0.7142,88.28,0.004238,89.36
218,1.4757,72.14,0.6914,89.36,0.003988,89.36
219,1.502,70.25,0.688,89.08,0.003746,89.36
220,1.4951,67.74,0.701,89.12,0.003511,89.36
221,1.5019,68.38,0.6883,88.6,0.003284,89.36
222,1.518,66.24,0.6995,89.04,0.003063,89.36
223,1.4504,70.28,0.6961,89.64,0.00285,89.64
224,1.3904,76.18,0.6834,89.32,0.002645,89.64
225,1.4482,70.77,0.6838,90.0,0.002447,90.0
226,1.4987,68.07,0.6862,89.8,0.002257,90.0
227,1.4745,65.72,0.6961,89.32,0.002074,90.0
228,1.4612,66.3,0.705,88.84,0.001899,90.0
229,1.4543,67.28,0.6847,89.72,0.001731,90.0
230,1.4399,70.29,0.6768,89.56,0.001571,90.0
231,1.5011,68.28,0.6919,90.0,0.001418,90.0
232,1.5014,63.64,0.6772,89.52,0.001274,90.0
233,1.4632,68.31,0.6914,89.04,0.001137,90.0
234,1.4974,66.02,0.6945,89.36,0.001007,90.0
235,1.4555,68.22,0.685,89.6,0.000886,90.0
236,1.4593,67.58,0.6815,89.76,0.000772,90.0
237,1.4163,75.32,0.6803,89.56,0.000666,90.0
238,1.4352,72.41,0.6911,89.2,0.000567,90.0
239,1.4853,69.24,0.6917,89.96,0.000477,90.0
240,1.4235,67.67,0.6816,89.16,0.000394,90.0
241,1.4845,64.69,0.6851,89.4,0.000319,90.0
242,1.3869,74.5,0.6851,89.24,0.000252,90.0
243,1.4829,64.74,0.6946,89.36,0.000193,90.0
244,1.4886,69.94,0.6956,89.64,0.000142,90.0
245,1.481,68.39,0.7049,89.08,9.9e-05,90.0
246,1.4155,69.21,0.6895,89.36,6.3e-05,90.0
247,1.418,74.44,0.6871,89.4,3.6e-05,90.0
248,1.3663,68.94,0.681,89.52,1.6e-05,90.0
249,1.4618,68.7,0.6851,89.68,4e-06,90.0
250,1.4695,68.86,0.6901,89.52,0.0,90.0
