epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,3.1286,9.36,3.163,13.4,0.099996,13.4
2,3.0199,12.93,2.7411,22.6,0.099984,22.6
3,2.9363,15.7,2.5791,25.32,0.099964,25.32
4,2.845,18.13,2.3198,31.8,0.099937,31.8
5,2.8189,19.49,2.4982,29.6,0.099901,31.8
6,2.7984,19.3,2.2642,35.96,0.099858,35.96
7,2.7609,22.85,2.1814,36.68,0.099807,36.68
8,2.717,22.49,2.3697,31.32,0.099748,36.68
9,2.6982,24.9,1.9606,43.08,0.099681,43.08
10,2.6509,26.32,1.9743,44.56,0.099606,44.56
11,2.6641,25.38,2.0324,39.76,0.099523,44.56
12,2.6698,24.53,1.9804,43.96,0.099433,44.56
13,2.5909,28.4,1.9427,45.76,0.099334,45.76
14,2.564,28.44,1.8585,45.92,0.099228,45.92
15,2.524,31.65,1.7513,50.2,0.099114,50.2
16,2.5385,29.86,1.7256,51.72,0.098993,51.72
17,2.5479,30.14,1.8918,46.2,0.098863,51.72
18,2.4733,32.53,1.8883,47.08,0.098726,51.72
19,2.4334,33.4,1.7637,49.96,0.098582,51.72
20,2.4434,33.4,1.6271,54.48,0.098429,54.48
21,2.4267,33.47,1.7583,49.76,0.098269,54.48
22,2.4294,34.01,1.6435,54.24,0.098101,54.48
23,2.3372,37.11,1.6776,54.56,0.097926,54.56
24,2.4083,35.55,1.565,57.6,0.097743,57.6
25,2.3331,36.39,1.5907,54.72,0.097553,57.6
26,2.3739,35.64,1.471,60.56,0.097355,60.56
27,2.3515,37.47,1.6352,55.32,0.09715,60.56
28,2.3663,35.18,1.4628,60.04,0.096937,60.56
29,2.3087,38.49,1.4738,60.04,0.096716,60.56
30,2.2774,39.74,1.4998,59.96,0.096489,60.56
31,2.2778,38.71,1.4199,60.6,0.096254,60.6
32,2.3369,38.34,1.4311,61.4,0.096012,61.4
33,2.2633,40.8,1.6293,56.4,0.095762,61.4
34,2.2644,40.12,1.3841,62.8,0.095505,62.8
35,2.2446,39.33,1.4786,60.4,0.095241,62.8
36,2.23,41.47,1.4127,63.12,0.09497,63.12
37,2.2248,39.91,1.3213,64.28,0.094692,64.28
38,2.2494,39.61,1.4626,61.48,0.094407,64.28
39,2.1762,43.26,1.3612,63.8,0.094115,64.28
40,2.2313,41.46,1.3523,64.96,0.093815,64.96
41,2.1941,43.81,1.3217,65.08,0.093509,65.08
42,2.1624,43.27,1.3379,64.8,0.093196,65.08
43,2.1635,44.43,1.322,65.24,0.092876,65.24
44,2.2252,39.24,1.3141,68.0,0.09255,68.0
45,2.1945,42.23,1.349,64.48,0.092216,68.0
46,2.1457,45.17,1.3243,65.64,0.091876,68.0
47,2.1186,44.46,1.3518,63.52,0.09153,68.0
48,2.1574,45.07,1.2719,67.8,0.091177,68.0
49,2.1753,42.08,1.3506,65.36,0.090817,68.0
50,2.1122,42.37,1.3573,64.4,0.090451,68.0
51,2.1277,47.12,1.2879,67.16,0.090078,68.0
52,2.1217,43.36,1.3106,66.28,0.0897,68.0
53,2.1381,46.11,1.2375,70.08,0.089314,70.08
54,2.1632,43.27,1.2742,67.52,0.088923,70.08
