epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,3.2008,9.93,3.1554,16.2,0.099996,16.2
2,3.0791,14.17,2.7521,23.36,0.099984,23.36
3,3.0139,15.32,2.669,24.6,0.099964,24.6
4,2.9445,18.03,2.5109,31.16,0.099937,31.16
5,2.904,19.14,2.397,33.24,0.099901,33.24
6,2.8765,19.08,2.449,31.56,0.099858,33.24
7,2.8043,21.79,2.2205,40.64,0.099807,40.64
8,2.7542,24.35,2.2216,40.04,0.099748,40.64
9,2.6768,25.64,2.0629,40.84,0.099681,40.84
10,2.6035,30.22,1.9198,48.8,0.099606,48.8
11,2.6054,28.7,1.9096,49.6,0.099523,49.6
12,2.5584,30.62,1.8829,51.04,0.099433,51.04
13,2.5025,32.17,1.8364,50.48,0.099334,51.04
14,2.4504,34.39,1.7854,53.12,0.099228,53.12
15,2.4416,34.44,1.7985,51.48,0.099114,53.12
16,2.4035,35.12,1.6814,54.96,0.098993,54.96
17,2.368,37.29,1.6913,54.52,0.098863,54.96
18,2.3756,37.16,1.5316,60.12,0.098726,60.12
19,2.3283,37.8,1.5851,57.4,0.098582,60.12
20,2.2544,40.49,1.4476,61.6,0.098429,61.6
21,2.3082,38.64,1.4076,64.0,0.098269,64.0
22,2.2406,40.04,1.435,62.36,0.098101,64.0
23,2.2497,42.58,1.3394,66.88,0.097926,66.88
24,2.2466,42.23,1.4381,63.56,0.097743,66.88
25,2.2352,41.3,1.3228,67.76,0.097553,67.76
26,2.1284,47.38,1.3035,67.36,0.097355,67.76
27,2.1785,43.75,1.2443,69.4,0.09715,69.4
28,2.1555,44.03,1.3439,65.48,0.096937,69.4
29,2.1642,46.58,1.2479,69.44,0.096716,69.44
30,2.1403,45.99,1.3275,67.56,0.096489,69.44
31,2.1193,46.28,1.2473,70.48,0.096254,70.48
32,2.1122,47.96,1.2386,69.12,0.096012,70.48
33,2.0888,46.44,1.2611,68.8,0.095762,70.48
34,2.0862,47.66,1.2901,68.76,0.095505,70.48
35,2.0628,47.3,1.1955,72.76,0.095241,72.76
36,2.0426,47.9,1.1642,72.04,0.09497,72.76
37,2.0584,47.62,1.1342,73.04,0.094692,73.04
38,2.0206,51.38,1.0854,74.56,0.094407,74.56
