epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5819,2.33,4.2757,4.71,0.099996,4.71
2,4.4407,3.7,4.1809,6.08,0.099984,6.08
3,4.3873,4.62,4.0094,8.95,0.099964,8.95
4,4.3338,5.43,3.9708,9.86,0.099937,9.86
5,4.2782,6.7,3.7972,12.28,0.099901,12.28
6,4.2441,7.08,3.6867,14.79,0.099858,14.79
7,4.1896,8.07,3.7833,14.08,0.099807,14.79
8,4.1385,8.65,3.5712,16.4,0.099748,16.4
9,4.0979,9.69,3.402,20.28,0.099681,20.28
10,4.0299,11.39,3.4873,18.11,0.099606,20.28
11,3.9551,13.04,3.1025,24.87,0.099523,24.87
12,3.9194,13.93,3.0226,26.79,0.099433,26.79
13,3.862,15.16,3.1223,25.63,0.099334,26.79
14,3.8363,15.55,3.0041,27.02,0.099228,27.02
15,3.8118,15.22,2.8824,30.33,0.099114,30.33
16,3.7575,16.45,2.8948,30.38,0.098993,30.38
17,3.7672,16.58,2.801,32.17,0.098863,32.17
18,3.7391,17.69,2.7033,34.89,0.098726,34.89
19,3.6603,19.49,2.7211,33.4,0.098582,34.89
20,3.6537,18.98,2.6982,35.08,0.098429,35.08
21,3.619,20.36,2.5989,36.83,0.098269,36.83
22,3.5769,21.56,2.6119,36.44,0.098101,36.83
23,3.6553,18.45,2.5596,38.42,0.097926,38.42
24,3.5928,21.63,2.7228,33.94,0.097743,38.42
25,3.5686,21.85,2.5335,38.15,0.097553,38.42
26,3.4991,23.53,2.5119,39.45,0.097355,39.45
27,3.5647,21.6,2.3967,42.0,0.09715,42.0
28,3.4534,24.61,2.3695,42.97,0.096937,42.97
29,3.481,23.56,2.7375,36.71,0.096716,42.97
30,3.483,23.77,2.3319,43.8,0.096489,43.8
31,3.4897,23.51,2.4586,40.7,0.096254,43.8
32,3.4753,23.4,2.5463,39.46,0.096012,43.8
33,3.5144,23.84,2.445,42.91,0.095762,43.8
34,3.4389,24.96,2.3086,45.08,0.095505,45.08
35,3.4033,26.25,2.4006,43.16,0.095241,45.08
36,3.4058,25.15,2.3679,43.69,0.09497,45.08
37,3.4177,25.84,2.4533,41.8,0.094692,45.08
38,3.4316,25.58,2.2905,45.57,0.094407,45.57
39,3.3826,26.34,2.331,44.69,0.094115,45.57
40,3.4158,25.38,2.3601,44.36,0.093815,45.57
41,3.3213,27.3,2.4164,42.63,0.093509,45.57
42,3.3198,27.76,2.185,48.48,0.093196,48.48
43,3.3625,26.28,2.3721,44.64,0.092876,48.48
44,3.3563,28.08,2.3353,45.33,0.09255,48.48
45,3.3727,26.2,2.1948,47.42,0.092216,48.48
46,3.3569,26.94,2.1887,48.63,0.091876,48.63
47,3.3279,27.59,2.1717,49.19,0.09153,49.19
48,3.312,28.54,2.3367,44.63,0.091177,49.19
49,3.3361,28.06,2.1545,49.12,0.090817,49.19
50,3.3759,26.6,2.2702,46.5,0.090451,49.19
51,3.2604,29.9,2.1192,50.29,0.090078,50.29
52,3.2702,31.05,2.239,48.37,0.0897,50.29
53,3.3132,28.61,2.4776,43.64,0.089314,50.29
54,3.2849,28.53,2.1017,50.37,0.088923,50.37
55,3.3299,28.35,2.2371,48.3,0.088526,50.37
56,3.3164,28.86,2.1847,49.12,0.088122,50.37
57,3.2466,30.65,2.1846,49.31,0.087713,50.37
58,3.3102,28.62,2.0988,50.46,0.087297,50.46
59,3.3153,28.34,2.1599,48.88,0.086876,50.46
60,3.2815,31.3,2.1191,50.9,0.086448,50.9
61,3.2482,31.06,2.1753,49.72,0.086015,50.9
62,3.2233,30.96,2.0182,53.42,0.085577,53.42
63,3.2336,30.74,1.994,53.2,0.085132,53.42
64,3.2526,29.31,1.9937,53.38,0.084683,53.42
65,3.2018,33.5,2.0199,53.9,0.084227,53.9
66,3.1857,31.52,2.0829,52.94,0.083767,53.9
67,3.2398,30.71,2.0842,52.46,0.083301,53.9
68,3.2372,31.57,1.9749,54.0,0.082829,54.0
69,3.2604,29.82,2.0445,52.43,0.082353,54.0
70,3.2195,31.31,2.0472,52.84,0.081871,54.0
71,3.1882,32.61,2.1779,49.72,0.081385,54.0
72,3.2233,31.33,2.1357,50.38,0.080893,54.0
73,3.1738,32.47,2.0508,52.86,0.080397,54.0
74,3.2113,31.56,2.0672,52.02,0.079895,54.0
75,3.1789,33.03,2.0094,53.48,0.079389,54.0
76,3.2042,31.04,1.9934,54.22,0.078879,54.22
77,3.1541,33.77,2.0788,52.67,0.078363,54.22
78,3.1539,32.47,1.9744,54.45,0.077844,54.45
79,3.1581,32.79,2.0303,52.84,0.07732,54.45
80,3.1746,31.47,2.0586,53.08,0.076791,54.45
81,3.1623,32.49,2.0406,54.19,0.076259,54.45
82,3.1658,33.48,2.0769,53.45,0.075722,54.45
83,3.1583,33.22,2.0228,53.81,0.075181,54.45
84,3.1253,35.58,1.9554,55.94,0.074636,55.94
85,3.215,30.23,2.0918,52.83,0.074088,55.94
86,3.2064,31.74,1.9535,56.65,0.073535,56.65
87,3.1512,33.72,1.894,56.98,0.072979,56.98
88,3.1816,32.94,1.9591,55.83,0.072419,56.98
89,3.1016,33.37,1.9358,56.38,0.071856,56.98
90,3.0432,36.37,1.9781,55.95,0.071289,56.98
91,3.146,32.42,1.933,56.51,0.070719,56.98
92,3.1114,34.6,1.9486,56.3,0.070145,56.98
93,3.0934,35.08,1.9787,54.95,0.069569,56.98
94,3.0492,36.74,1.9109,56.93,0.068989,56.98
95,3.0418,35.85,1.8998,57.24,0.068406,57.24
96,3.0738,36.31,1.8743,57.9,0.067821,57.9
