epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5395,3.83,4.1695,8.97,0.099996,8.97
2,4.3371,6.36,3.9074,11.98,0.099984,11.98
3,4.2274,8.01,3.7406,16.74,0.099964,16.74
4,4.1345,10.62,3.6407,17.83,0.099937,17.83
5,4.0159,12.86,3.5625,20.31,0.099901,20.31
6,3.9487,14.59,3.2794,26.38,0.099858,26.38
7,3.8496,17.35,3.1068,29.36,0.099807,29.36
8,3.769,18.7,2.9888,33.09,0.099748,33.09
9,3.6861,22.02,2.9096,34.55,0.099681,34.55
10,3.6656,21.95,2.9933,33.83,0.099606,34.55
11,3.6059,23.14,2.813,37.31,0.099523,37.31
12,3.6147,23.87,2.6893,41.06,0.099433,41.06
13,3.5087,26.28,2.6906,41.56,0.099334,41.56
14,3.4607,27.79,2.6143,42.97,0.099228,42.97
15,3.3896,28.68,2.6816,42.06,0.099114,42.97
16,3.3713,30.15,2.6296,42.55,0.098993,42.97
17,3.4072,27.98,2.4348,48.42,0.098863,48.42
18,3.3139,32.7,2.3986,49.31,0.098726,49.31
19,3.2801,32.45,2.5357,45.14,0.098582,49.31
20,3.2596,32.25,2.4768,48.21,0.098429,49.31
21,3.1903,34.63,2.3688,50.48,0.098269,50.48
22,3.1996,34.57,2.2851,52.36,0.098101,52.36
23,3.1988,36.09,2.3806,50.35,0.097926,52.36
24,3.1697,36.58,2.2932,52.9,0.097743,52.9
25,3.1668,34.54,2.2273,54.19,0.097553,54.19
26,3.1222,37.5,2.2307,54.55,0.097355,54.55
27,3.0819,38.28,2.2703,53.54,0.09715,54.55
28,3.0493,38.81,2.2014,56.27,0.096937,56.27
29,3.04,40.27,2.2288,55.27,0.096716,56.27
30,2.97,42.05,2.1892,55.76,0.096489,56.27
31,3.052,40.43,2.1914,56.32,0.096254,56.32
32,3.0106,40.7,2.1976,55.53,0.096012,56.32
33,3.0251,39.47,2.1351,57.68,0.095762,57.68
34,2.945,42.28,2.1101,58.08,0.095505,58.08
35,2.8642,43.97,2.1485,57.24,0.095241,58.08
36,2.9847,40.14,2.0776,59.74,0.09497,59.74
37,2.8987,45.01,2.0595,60.29,0.094692,60.29
38,2.8936,46.29,2.0637,60.27,0.094407,60.29
39,2.8387,44.85,2.0784,59.88,0.094115,60.29
40,2.834,46.03,2.0556,60.92,0.093815,60.92
41,2.879,45.47,2.0457,60.98,0.093509,60.98
42,2.8205,46.51,2.0445,60.73,0.093196,60.98
43,2.805,46.52,2.0788,60.4,0.092876,60.98
44,2.7968,46.75,2.0026,62.0,0.09255,62.0
45,2.7771,48.63,2.014,61.68,0.092216,62.0
46,2.8039,46.67,2.076,59.63,0.091876,62.0
47,2.7743,48.87,2.0226,61.58,0.09153,62.0
48,2.7368,47.96,1.9761,62.71,0.091177,62.71
49,2.7363,48.57,2.0398,61.5,0.090817,62.71
50,2.7175,49.07,2.0403,60.27,0.090451,62.71
51,2.7677,49.16,1.9889,62.39,0.090078,62.71
52,2.6712,51.01,1.9707,63.41,0.0897,63.41
53,2.6941,49.56,1.9817,63.17,0.089314,63.41
54,2.6844,49.8,2.0197,61.51,0.088923,63.41
55,2.669,51.15,2.0265,61.5,0.088526,63.41
56,2.7242,49.71,2.0521,61.22,0.088122,63.41
57,2.658,52.44,1.986,62.89,0.087713,63.41
58,2.6468,50.87,2.0394,61.48,0.087297,63.41
59,2.6048,52.85,2.0138,62.73,0.086876,63.41
60,2.7101,50.43,1.9995,63.1,0.086448,63.41
61,2.6585,50.43,1.995,62.75,0.086015,63.41
62,2.5904,51.9,1.9886,62.86,0.085577,63.41
63,2.6274,53.21,2.0022,63.22,0.085132,63.41
64,2.6633,51.23,1.9367,64.73,0.084683,64.73
65,2.6468,51.19,1.9567,64.13,0.084227,64.73
66,2.6465,50.28,1.954,63.94,0.083767,64.73
67,2.6103,51.23,2.0125,62.89,0.083301,64.73
68,2.5117,56.08,1.9349,64.78,0.082829,64.78
69,2.5624,56.34,1.9713,63.81,0.082353,64.78
70,2.612,53.16,1.9206,66.3,0.081871,66.3
71,2.5522,53.87,1.9566,63.89,0.081385,66.3
72,2.6429,50.85,1.9654,63.99,0.080893,66.3
73,2.538,55.74,1.9224,65.13,0.080397,66.3
74,2.4918,57.95,1.9645,64.2,0.079895,66.3
75,2.5728,52.29,1.9899,63.72,0.079389,66.3
76,2.4753,59.11,1.9144,65.38,0.078879,66.3
77,2.5562,54.99,1.9432,64.96,0.078363,66.3
78,2.4689,58.12,1.969,63.85,0.077844,66.3
79,2.4994,56.49,1.9326,64.53,0.07732,66.3
80,2.4059,61.86,1.8967,65.75,0.076791,66.3
81,2.4377,59.75,1.9628,64.32,0.076259,66.3
82,2.4638,59.95,1.9333,65.1,0.075722,66.3
83,2.4797,55.92,1.9477,64.51,0.075181,66.3
84,2.415,59.73,1.9431,64.74,0.074636,66.3
85,2.4074,58.69,1.9397,64.99,0.074088,66.3
86,2.4907,54.88,1.9385,64.77,0.073535,66.3
87,2.4688,58.24,1.9391,65.2,0.072979,66.3
88,2.4355,59.33,1.9585,65.17,0.072419,66.3
89,2.4438,59.76,1.9003,66.03,0.071856,66.3
90,2.3568,63.37,1.9165,65.52,0.071289,66.3
91,2.4119,62.05,1.9195,65.63,0.070719,66.3
92,2.42,58.39,1.9447,64.88,0.070145,66.3
93,2.3787,61.38,1.9671,64.44,0.069569,66.3
94,2.4149,60.53,1.9323,65.89,0.068989,66.3
95,2.387,60.84,1.9652,64.43,0.068406,66.3
96,2.4279,57.48,1.9206,65.54,0.067821,66.3
97,2.3157,64.22,1.886,66.41,0.067232,66.41
98,2.4023,59.94,1.9282,65.45,0.066641,66.41
99,2.3047,63.84,1.9066,65.77,0.066047,66.41
100,2.3705,59.96,1.9502,64.83,0.065451,66.41
101,2.4243,58.74,1.9123,65.7,0.064852,66.41
102,2.336,64.0,1.9482,64.55,0.064251,66.41
103,2.377,61.3,1.9407,65.1,0.063648,66.41
104,2.3572,62.51,1.9235,65.43,0.063042,66.41
105,2.2903,64.03,1.9013,66.99,0.062434,66.99
106,2.3165,65.09,1.9278,66.09,0.061825,66.99
107,2.4116,58.22,1.9548,65.86,0.061214,66.99
108,2.2668,64.32,1.8888,67.18,0.0606,67.18
109,2.3545,62.37,1.912,66.04,0.059985,67.18
110,2.3406,66.18,1.9291,65.97,0.059369,67.18
111,2.305,62.8,1.9385,65.67,0.058751,67.18
112,2.304,63.07,1.949,64.93,0.058132,67.18
113,2.2976,66.0,1.9175,66.36,0.057511,67.18
114,2.2902,63.71,1.9251,66.41,0.05689,67.18
115,2.3367,60.68,1.9189,65.97,0.056267,67.18
116,2.2802,63.16,1.9066,66.71,0.055643,67.18
117,2.3404,61.1,1.9395,65.55,0.055018,67.18
118,2.3082,63.21,1.9355,65.67,0.054393,67.18
119,2.2358,63.79,1.8926,66.86,0.053766,67.18
120,2.2532,63.46,1.9111,66.31,0.05314,67.18
121,2.2836,65.32,1.8949,67.06,0.052512,67.18
122,2.2028,67.1,1.9272,66.22,0.051885,67.18
123,2.2435,64.8,1.907,66.73,0.051257,67.18
124,2.2207,65.1,1.8983,66.93,0.050628,67.18
125,2.2316,66.25,1.8975,66.45,0.05,67.18
126,2.1987,66.74,1.9027,66.71,0.049372,67.18
127,2.2843,63.23,1.8734,67.81,0.048743,67.81
128,2.2094,62.98,1.9016,67.26,0.048115,67.81
129,2.2575,64.6,1.8981,66.79,0.047488,67.81
130,2.2134,66.53,1.8705,67.64,0.04686,67.81
131,2.2059,64.95,1.8825,67.66,0.046234,67.81
132,2.2135,67.46,1.8929,67.71,0.045607,67.81
133,2.1985,66.29,1.9035,66.82,0.044982,67.81
134,2.2062,64.08,1.8545,68.3,0.044357,68.3
135,2.2105,66.54,1.9286,66.98,0.043733,68.3
136,2.2737,62.25,1.8826,67.94,0.04311,68.3
137,2.1774,67.26,1.8813,67.3,0.042489,68.3
