epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5309,3.4,4.2817,5.92,0.099996,5.92
2,4.3796,5.09,3.9551,10.28,0.099984,10.28
3,4.3105,6.26,3.9028,10.97,0.099964,10.97
4,4.2527,7.79,3.8592,11.4,0.099937,11.4
5,4.1996,8.35,3.6649,14.6,0.099901,14.6
6,4.1599,9.02,3.7101,15.94,0.099858,15.94
7,4.1188,9.85,3.5931,17.53,0.099807,17.53
8,4.0678,11.14,3.6374,15.39,0.099748,17.53
9,4.0475,11.6,3.4676,19.54,0.099681,19.54
10,3.9917,12.89,3.3405,21.67,0.099606,21.67
11,3.9358,14.33,3.5113,19.53,0.099523,21.67
12,3.8973,14.8,3.1459,25.43,0.099433,25.43
13,3.8186,16.28,3.1369,26.4,0.099334,26.4
14,3.8506,15.65,3.3817,22.8,0.099228,26.4
15,3.8145,16.65,3.2206,25.63,0.099114,26.4
16,3.802,17.08,3.0313,28.5,0.098993,28.5
17,3.8153,16.85,3.2487,25.78,0.098863,28.5
18,3.7512,18.03,3.2293,28.8,0.098726,28.8
19,3.7377,17.98,3.0127,31.4,0.098582,31.4
20,3.7301,18.18,3.4591,23.14,0.098429,31.4
21,3.6832,19.69,2.7247,34.66,0.098269,34.66
22,3.6962,19.42,2.8049,34.17,0.098101,34.66
23,3.6958,19.08,3.015,29.67,0.097926,34.66
24,3.6354,21.38,3.0023,31.19,0.097743,34.66
25,3.6566,20.62,2.7968,34.0,0.097553,34.66
26,3.6435,20.56,2.7723,34.5,0.097355,34.66
27,3.6312,21.67,2.6978,36.56,0.09715,36.56
28,3.5919,22.37,2.7396,36.32,0.096937,36.56
29,3.5842,22.35,2.7895,37.0,0.096716,37.0
30,3.5867,21.62,2.6269,38.74,0.096489,38.74
31,3.6525,20.02,3.1608,30.37,0.096254,38.74
32,3.5736,23.13,2.6518,37.96,0.096012,38.74
33,3.5735,22.73,2.8353,34.66,0.095762,38.74
34,3.5402,24.47,2.5218,40.48,0.095505,40.48
35,3.5647,22.85,2.6692,36.91,0.095241,40.48
36,3.5559,23.01,2.5746,39.63,0.09497,40.48
37,3.5692,22.27,2.8995,33.77,0.094692,40.48
38,3.5204,24.83,3.0179,32.44,0.094407,40.48
39,3.5439,23.18,2.6755,38.57,0.094115,40.48
40,3.4792,24.48,2.5841,38.78,0.093815,40.48
41,3.5256,24.09,2.7466,36.29,0.093509,40.48
42,3.4791,25.0,2.5781,39.43,0.093196,40.48
43,3.4951,24.72,2.6235,39.77,0.092876,40.48
44,3.4865,24.59,2.6443,38.57,0.09255,40.48
45,3.4569,25.39,2.634,37.46,0.092216,40.48
46,3.4838,23.89,2.6819,38.71,0.091876,40.48
47,3.4859,25.39,2.5059,40.94,0.09153,40.94
48,3.4873,24.45,2.5531,41.05,0.091177,41.05
49,3.4672,24.9,2.5608,40.24,0.090817,41.05
50,3.4589,25.44,2.7333,38.08,0.090451,41.05
51,3.4209,26.83,2.52,42.28,0.090078,42.28
52,3.5022,23.63,2.3335,45.11,0.0897,45.11
53,3.4195,25.81,2.6264,39.54,0.089314,45.11
54,3.4422,25.6,2.6948,37.72,0.088923,45.11
55,3.4169,27.01,2.6507,39.75,0.088526,45.11
56,3.3696,27.52,2.456,43.75,0.088122,45.11
57,3.3777,28.07,2.29,45.99,0.087713,45.99
58,3.3972,27.65,2.4104,43.51,0.087297,45.99
59,3.35,28.36,2.5147,41.89,0.086876,45.99
60,3.3565,27.69,2.3942,44.02,0.086448,45.99
61,3.398,28.29,2.3714,44.34,0.086015,45.99
62,3.3749,27.77,2.2954,46.59,0.085577,46.59
63,3.3079,30.35,2.3268,46.15,0.085132,46.59
64,3.3541,28.22,2.3453,46.05,0.084683,46.59
65,3.3445,29.49,2.4835,43.22,0.084227,46.59
66,3.3835,27.5,2.4722,44.98,0.083767,46.59
67,3.3232,28.9,2.3248,46.17,0.083301,46.59
68,3.2868,30.15,2.2433,49.23,0.082829,49.23
69,3.3292,29.55,2.2296,48.78,0.082353,49.23
70,3.289,30.38,2.4408,46.21,0.081871,49.23
71,3.3137,29.33,2.1287,50.4,0.081385,50.4
72,3.323,29.27,2.2091,49.49,0.080893,50.4
73,3.2924,30.45,2.1065,51.53,0.080397,51.53
74,3.2792,31.72,2.3978,44.59,0.079895,51.53
75,3.3171,28.85,2.2888,47.9,0.079389,51.53
76,3.2902,29.95,2.2036,49.64,0.078879,51.53
77,3.2525,31.92,2.2354,49.72,0.078363,51.53
78,3.2442,31.43,2.1428,51.22,0.077844,51.53
79,3.2662,30.77,2.4722,44.66,0.07732,51.53
80,3.2372,32.12,2.2118,50.38,0.076791,51.53
81,3.2972,30.49,2.1543,51.02,0.076259,51.53
82,3.2822,30.24,2.2465,48.52,0.075722,51.53
83,3.2201,32.97,2.1466,51.93,0.075181,51.93
84,3.2439,31.55,2.3016,48.96,0.074636,51.93
85,3.2043,31.1,2.1514,51.42,0.074088,51.93
86,3.2404,32.12,2.1086,51.98,0.073535,51.98
87,3.238,31.2,2.2226,50.59,0.072979,51.98
88,3.1947,33.43,2.324,48.24,0.072419,51.98
89,3.1905,33.59,2.399,46.61,0.071856,51.98
90,3.2146,31.68,2.1499,51.36,0.071289,51.98
91,3.2091,33.27,2.124,52.34,0.070719,52.34
92,3.1783,33.45,2.0924,52.69,0.070145,52.69
93,3.1792,33.1,2.1246,52.79,0.069569,52.79
94,3.2011,32.16,2.1411,52.68,0.068989,52.79
95,3.1404,33.52,2.0234,54.45,0.068406,54.45
96,3.1503,34.13,2.0827,54.18,0.067821,54.45
97,3.144,33.51,2.1004,53.0,0.067232,54.45
98,3.1388,33.95,1.9615,55.99,0.066641,55.99
99,3.1846,32.67,2.0333,54.98,0.066047,55.99
100,3.1702,34.25,2.1346,53.13,0.065451,55.99
101,3.1271,35.68,2.0877,53.49,0.064852,55.99
102,3.1369,34.17,2.1052,53.59,0.064251,55.99
103,3.1388,35.14,2.1124,53.79,0.063648,55.99
104,3.1507,34.5,2.0115,55.07,0.063042,55.99
105,3.1065,35.3,1.9984,54.77,0.062434,55.99
106,3.1382,35.84,2.0047,56.05,0.061825,56.05
107,3.0814,35.31,1.9597,55.65,0.061214,56.05
108,3.1088,35.85,1.9793,56.57,0.0606,56.57
109,3.0384,37.77,1.9547,57.41,0.059985,57.41
110,3.1136,36.31,2.0779,54.35,0.059369,57.41
111,3.0884,35.48,1.8784,59.09,0.058751,59.09
112,3.0511,37.94,1.9206,57.86,0.058132,59.09
113,3.0818,35.05,1.915,57.57,0.057511,59.09
114,3.056,36.89,1.8623,59.29,0.05689,59.29
115,3.0642,36.49,1.9513,56.35,0.056267,59.29
116,3.0505,37.89,1.9552,56.61,0.055643,59.29
