epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5876,3.1,4.2345,7.78,0.099996,7.78
2,4.3755,4.93,4.0258,9.79,0.099984,9.79
3,4.2821,6.27,4.0536,11.17,0.099964,11.17
4,4.2211,7.47,3.8301,14.07,0.099937,14.07
5,4.1476,8.68,3.622,16.88,0.099901,16.88
6,4.0721,10.58,3.4436,21.13,0.099858,21.13
7,3.9954,11.8,3.3065,23.47,0.099807,23.47
8,3.906,13.87,3.2574,23.24,0.099748,23.47
9,3.8722,14.54,3.0711,26.8,0.099681,26.8
10,3.7812,16.53,3.0024,29.11,0.099606,29.11
11,3.7007,18.49,2.8518,32.2,0.099523,32.2
12,3.6673,19.52,2.8267,32.88,0.099433,32.88
13,3.6204,20.2,2.6453,36.45,0.099334,36.45
14,3.5892,21.24,2.6358,38.04,0.099228,38.04
15,3.5372,21.95,2.6703,36.62,0.099114,38.04
16,3.5177,22.18,2.8046,35.05,0.098993,38.04
17,3.4566,24.45,2.6893,37.74,0.098863,38.04
18,3.3767,26.72,2.411,42.69,0.098726,42.69
19,3.3933,25.21,2.569,39.7,0.098582,42.69
20,3.3889,26.22,2.4308,42.73,0.098429,42.73
21,3.3553,27.83,2.4425,43.47,0.098269,43.47
22,3.3199,27.39,2.3834,44.29,0.098101,44.29
23,3.2693,29.23,2.7378,38.09,0.097926,44.29
24,3.2463,30.46,2.3444,44.93,0.097743,44.93
25,3.2497,29.75,2.268,47.15,0.097553,47.15
26,3.197,31.62,2.1533,49.42,0.097355,49.42
27,3.1657,32.41,2.1945,48.89,0.09715,49.42
28,3.1613,31.7,2.1697,49.6,0.096937,49.6
29,3.126,32.2,2.1606,49.55,0.096716,49.6
30,3.1424,33.2,2.0947,51.92,0.096489,51.92
31,3.1115,33.06,2.1072,50.52,0.096254,51.92
32,3.0763,34.45,2.1033,50.82,0.096012,51.92
33,3.1061,31.96,2.058,52.28,0.095762,52.28
34,3.0847,34.06,1.9677,54.18,0.095505,54.18
35,3.0109,35.02,1.9788,53.93,0.095241,54.18
36,3.0233,36.25,2.107,51.38,0.09497,54.18
37,3.0231,35.38,1.9033,56.2,0.094692,56.2
38,2.9616,37.26,2.1152,51.76,0.094407,56.2
39,3.0233,35.61,1.9378,55.72,0.094115,56.2
40,2.9794,36.04,2.0453,52.67,0.093815,56.2
41,2.9133,38.62,1.9797,54.84,0.093509,56.2
42,2.9356,37.6,1.9549,55.36,0.093196,56.2
43,2.9339,38.8,1.8673,57.5,0.092876,57.5
44,2.9359,37.9,1.9223,56.37,0.09255,57.5
45,2.9046,38.87,1.9237,56.16,0.092216,57.5
46,2.9066,38.5,1.8619,57.64,0.091876,57.64
47,2.8746,40.09,1.852,57.99,0.09153,57.99
48,2.892,38.73,1.8751,57.2,0.091177,57.99
49,2.8666,40.5,1.8505,58.5,0.090817,58.5
50,2.8828,39.93,1.8245,58.51,0.090451,58.51
51,2.8236,41.03,1.8178,58.39,0.090078,58.51
52,2.8268,41.43,1.8619,57.31,0.0897,58.51
53,2.8188,41.55,1.7835,59.63,0.089314,59.63
54,2.8054,41.05,1.7438,60.61,0.088923,60.61
55,2.7792,41.86,1.9322,56.46,0.088526,60.61
56,2.7889,42.52,1.7959,59.6,0.088122,60.61
57,2.795,41.49,1.8848,57.66,0.087713,60.61
58,2.7363,44.29,1.8607,58.07,0.087297,60.61
59,2.7625,42.28,1.823,58.74,0.086876,60.61
60,2.7603,42.95,1.8783,57.33,0.086448,60.61
61,2.7348,42.83,1.7893,60.0,0.086015,60.61
62,2.7294,43.17,1.8495,58.27,0.085577,60.61
63,2.6927,44.94,1.7651,60.91,0.085132,60.91
64,2.7281,42.35,1.7973,59.34,0.084683,60.91
65,2.6968,45.0,1.7529,60.4,0.084227,60.91
66,2.7184,42.91,1.7004,62.16,0.083767,62.16
67,2.6965,44.34,1.6708,62.98,0.083301,62.98
68,2.71,43.73,1.7484,61.64,0.082829,62.98
69,2.6951,43.6,1.7369,61.45,0.082353,62.98
70,2.6826,45.81,1.7572,60.88,0.081871,62.98
71,2.7038,43.71,1.7667,61.37,0.081385,62.98
72,2.6587,45.37,1.7878,60.25,0.080893,62.98
73,2.7028,43.27,1.8023,59.85,0.080397,62.98
74,2.6569,45.0,1.7536,61.66,0.079895,62.98
75,2.613,46.8,1.7019,62.67,0.079389,62.98
76,2.6016,47.09,1.7363,62.0,0.078879,62.98
77,2.5955,46.78,1.7267,62.17,0.078363,62.98
78,2.7005,44.74,1.6613,63.27,0.077844,63.27
79,2.6693,43.04,1.6803,62.34,0.07732,63.27
80,2.625,45.7,1.6793,63.17,0.076791,63.27
81,2.5977,46.83,1.6637,63.11,0.076259,63.27
82,2.5777,47.22,1.7232,62.62,0.075722,63.27
83,2.569,47.86,1.7214,62.92,0.075181,63.27
84,2.569,47.45,1.706,63.17,0.074636,63.27
85,2.5681,47.18,1.5995,65.24,0.074088,65.24
86,2.6491,43.76,1.6119,65.12,0.073535,65.24
87,2.5882,45.27,1.6649,63.63,0.072979,65.24
88,2.6018,47.65,1.6525,64.01,0.072419,65.24
89,2.524,48.65,1.6521,63.97,0.071856,65.24
90,2.5778,47.0,1.5757,66.45,0.071289,66.45
91,2.5663,48.46,1.6527,64.09,0.070719,66.45
92,2.5634,48.56,1.6597,63.62,0.070145,66.45
93,2.5365,46.48,1.6263,64.63,0.069569,66.45
94,2.5219,49.86,1.5737,66.32,0.068989,66.45
95,2.5129,48.81,1.6555,64.76,0.068406,66.45
96,2.536,48.08,1.6311,64.78,0.067821,66.45
97,2.4846,49.11,1.5962,65.62,0.067232,66.45
98,2.4635,50.24,1.6198,65.21,0.066641,66.45
99,2.4894,49.37,1.5578,66.71,0.066047,66.71
100,2.4784,49.79,1.6707,63.7,0.065451,66.71
101,2.4882,50.61,1.5939,66.41,0.064852,66.71
102,2.4806,49.94,1.6389,65.18,0.064251,66.71
103,2.4253,52.6,1.5709,66.58,0.063648,66.71
104,2.4272,51.02,1.6131,66.06,0.063042,66.71
105,2.4674,48.92,1.621,65.8,0.062434,66.71
106,2.4738,48.98,1.7144,63.36,0.061825,66.71
107,2.4614,48.98,1.526,67.7,0.061214,67.7
108,2.478,47.55,1.6014,65.97,0.0606,67.7
109,2.4408,50.72,1.6519,65.25,0.059985,67.7
110,2.3788,52.54,1.6141,65.67,0.059369,67.7
111,2.3871,52.27,1.6097,65.75,0.058751,67.7
112,2.4111,51.72,1.5763,66.69,0.058132,67.7
113,2.4028,51.75,1.5348,67.71,0.057511,67.71
114,2.3631,52.26,1.5846,66.97,0.05689,67.71
115,2.3655,52.78,1.5538,67.41,0.056267,67.71
116,2.4015,50.81,1.5726,67.21,0.055643,67.71
117,2.2886,54.15,1.5485,67.31,0.055018,67.71
118,2.374,51.28,1.579,66.56,0.054393,67.71
119,2.3201,54.42,1.5689,67.32,0.053766,67.71
120,2.3637,52.5,1.6155,65.37,0.05314,67.71
121,2.3494,53.37,1.5386,67.65,0.052512,67.71
122,2.3338,53.71,1.6722,64.62,0.051885,67.71
123,2.3179,53.24,1.5981,66.52,0.051257,67.71
124,2.3017,53.15,1.5135,68.68,0.050628,68.68
125,2.2963,54.73,1.5658,67.1,0.05,68.68
126,2.2698,56.27,1.5673,67.27,0.049372,68.68
127,2.287,55.3,1.5103,69.05,0.048743,69.05
128,2.261,56.07,1.4976,69.19,0.048115,69.19
129,2.2602,54.92,1.5802,67.4,0.047488,69.19
130,2.2525,54.46,1.5805,66.61,0.04686,69.19
131,2.2719,55.5,1.5159,68.96,0.046234,69.19
132,2.2256,57.81,1.5351,68.52,0.045607,69.19
133,2.2362,58.04,1.5108,69.09,0.044982,69.19
134,2.229,57.75,1.508,69.07,0.044357,69.19
135,2.1924,56.76,1.4953,69.57,0.043733,69.57
136,2.2024,58.21,1.5211,68.47,0.04311,69.57
137,2.2349,55.52,1.4365,70.95,0.042489,70.95
138,2.1978,57.75,1.5168,68.5,0.041868,70.95
139,2.2235,57.49,1.5498,67.59,0.041249,70.95
140,2.1766,58.3,1.48,69.38,0.040631,70.95
141,2.1694,59.19,1.4824,69.26,0.040015,70.95
142,2.1967,57.72,1.5062,69.44,0.0394,70.95
143,2.1606,58.38,1.5285,68.85,0.038786,70.95
144,2.1387,58.14,1.4639,70.28,0.038175,70.95
145,2.1179,59.53,1.4515,71.16,0.037566,71.16
146,2.136,59.92,1.4967,69.9,0.036958,71.16
147,2.1405,57.22,1.4426,70.58,0.036352,71.16
148,2.0967,59.9,1.4548,70.72,0.035749,71.16
149,2.0741,60.8,1.4929,70.28,0.035148,71.16
150,2.1619,56.57,1.4453,71.05,0.034549,71.16
151,2.1133,57.65,1.4505,71.03,0.033953,71.16
152,2.0976,60.35,1.4724,70.55,0.033359,71.16
153,2.0987,58.65,1.4706,70.84,0.032768,71.16
154,2.0309,61.75,1.4688,70.49,0.032179,71.16
155,2.1129,59.14,1.4377,71.03,0.031594,71.16
156,2.0836,59.89,1.4584,71.19,0.031011,71.19
157,2.1016,57.0,1.4213,71.93,0.030431,71.93
158,2.0844,60.48,1.4523,70.69,0.029855,71.93
159,2.0458,61.6,1.4658,70.9,0.029281,71.93
160,2.047,59.96,1.45,71.19,0.028711,71.93
161,2.0185,62.82,1.425,71.93,0.028144,71.93
162,2.0457,59.93,1.4581,71.53,0.027581,71.93
163,2.013,62.33,1.4547,70.99,0.027021,71.93
164,2.0399,59.44,1.4368,71.53,0.026465,71.93
165,2.0288,60.4,1.4622,71.25,0.025912,71.93
166,1.9521,64.01,1.4489,71.74,0.025364,71.93
167,1.9934,60.97,1.4558,71.19,0.024819,71.93
168,1.9549,63.53,1.4094,72.41,0.024278,72.41
169,1.9533,64.41,1.4731,70.98,0.023741,72.41
170,1.9854,60.45,1.4544,71.55,0.023209,72.41
171,1.9632,62.57,1.4253,72.84,0.02268,72.84
172,1.9615,63.87,1.4535,71.72,0.022156,72.84
173,1.9487,64.25,1.4199,72.52,0.021637,72.84
174,1.9164,65.43,1.4297,72.29,0.021121,72.84
175,1.8948,65.47,1.4165,72.41,0.020611,72.84
176,1.895,63.46,1.4213,72.72,0.020105,72.84
177,1.9374,62.22,1.4048,72.99,0.019603,72.99
