epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5698,2.52,4.4137,4.84,0.099996,4.84
2,4.4532,3.65,4.0857,7.38,0.099984,7.38
3,4.3936,4.23,4.0259,9.12,0.099964,9.12
4,4.3478,5.09,3.9216,10.38,0.099937,10.38
5,4.2959,5.94,3.7878,12.79,0.099901,12.79
6,4.2657,6.86,3.7882,13.02,0.099858,13.02
7,4.2105,7.41,3.6795,14.61,0.099807,14.61
8,4.1865,8.37,3.57,16.95,0.099748,16.95
9,4.1126,9.9,3.514,18.05,0.099681,18.05
10,4.0837,10.14,3.5005,17.49,0.099606,18.05
11,4.0001,12.35,3.2462,22.3,0.099523,22.3
12,3.9983,11.87,3.2312,22.54,0.099433,22.54
13,3.9636,12.64,3.1105,24.84,0.099334,24.84
14,3.8921,13.71,2.9944,27.4,0.099228,27.4
15,3.8637,14.5,2.8397,30.54,0.099114,30.54
16,3.8044,16.14,2.8837,29.87,0.098993,30.54
17,3.7962,16.69,2.8203,31.3,0.098863,31.3
18,3.7868,16.2,2.8119,31.94,0.098726,31.94
19,3.7337,17.91,2.7173,33.99,0.098582,33.99
20,3.7131,17.42,2.6934,33.98,0.098429,33.99
21,3.6941,19.11,2.5664,37.1,0.098269,37.1
22,3.6245,19.71,2.611,36.48,0.098101,37.1
23,3.6038,20.51,2.5585,38.01,0.097926,38.01
24,3.6036,20.8,2.4985,39.19,0.097743,39.19
25,3.6005,20.45,2.5172,38.77,0.097553,39.19
26,3.5686,22.9,2.6586,36.51,0.097355,39.19
27,3.5265,22.67,2.4243,41.6,0.09715,41.6
28,3.5485,21.72,2.5009,39.58,0.096937,41.6
29,3.5196,22.7,2.4351,41.37,0.096716,41.6
30,3.5004,23.81,2.464,40.59,0.096489,41.6
31,3.5012,23.62,2.3157,44.4,0.096254,44.4
32,3.4581,24.52,2.5917,38.28,0.096012,44.4
33,3.4541,24.89,2.3351,43.46,0.095762,44.4
34,3.4551,24.66,2.2487,45.89,0.095505,45.89
35,3.4358,25.77,2.5076,41.69,0.095241,45.89
36,3.4261,25.79,2.3846,43.78,0.09497,45.89
37,3.3864,27.27,2.284,44.3,0.094692,45.89
38,3.4333,26.23,2.4258,42.15,0.094407,45.89
39,3.417,24.14,2.3643,44.17,0.094115,45.89
40,3.3582,27.77,2.2505,46.44,0.093815,46.44
41,3.3719,26.86,2.2916,45.65,0.093509,46.44
42,3.4142,24.73,2.2697,46.88,0.093196,46.88
43,3.3895,26.22,2.4276,41.58,0.092876,46.88
44,3.3478,27.75,2.4093,44.31,0.09255,46.88
45,3.3579,27.35,2.2588,46.07,0.092216,46.88
46,3.3375,27.73,2.3147,45.5,0.091876,46.88
47,3.336,28.91,2.3025,45.4,0.09153,46.88
48,3.2823,29.65,2.1017,50.27,0.091177,50.27
49,3.2967,28.92,2.3267,45.55,0.090817,50.27
50,3.3173,28.56,2.0473,51.18,0.090451,51.18
51,3.3228,29.29,2.2839,46.2,0.090078,51.18
52,3.2704,30.77,2.0733,51.84,0.0897,51.84
53,3.3166,29.45,2.0314,52.02,0.089314,52.02
54,3.2869,30.68,2.2846,47.62,0.088923,52.02
55,3.2948,29.2,2.0878,50.65,0.088526,52.02
56,3.242,29.34,2.3022,46.79,0.088122,52.02
57,3.2279,30.97,2.1472,49.25,0.087713,52.02
58,3.3132,27.66,2.1499,49.67,0.087297,52.02
59,3.2814,28.8,2.2182,48.26,0.086876,52.02
60,3.2594,30.56,2.0195,53.57,0.086448,53.57
61,3.1993,30.87,2.1258,50.29,0.086015,53.57
62,3.2708,29.01,2.1012,51.04,0.085577,53.57
63,3.2476,30.15,2.1415,50.9,0.085132,53.57
64,3.2801,29.92,2.0346,52.99,0.084683,53.57
65,3.2415,29.96,1.9567,54.48,0.084227,54.48
66,3.2651,30.01,2.108,51.04,0.083767,54.48
67,3.2303,30.65,2.0067,53.7,0.083301,54.48
68,3.2871,29.17,2.0687,52.32,0.082829,54.48
69,3.2276,30.96,2.0667,52.47,0.082353,54.48
70,3.2486,30.75,2.028,54.22,0.081871,54.48
71,3.2011,31.59,2.0841,51.86,0.081385,54.48
72,3.1862,32.74,2.0045,53.77,0.080893,54.48
73,3.1894,32.71,2.1199,51.69,0.080397,54.48
74,3.1863,32.13,2.1178,50.89,0.079895,54.48
75,3.1101,33.72,1.9959,54.38,0.079389,54.48
76,3.168,32.56,2.0449,53.33,0.078879,54.48
77,3.2098,31.32,2.0913,52.25,0.078363,54.48
78,3.1419,32.95,1.9011,56.74,0.077844,56.74
79,3.1996,32.33,1.8896,57.0,0.07732,57.0
