epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5886,3.09,4.3033,6.81,0.099996,6.81
2,4.3781,5.37,4.014,9.02,0.099984,9.02
3,4.2652,6.67,3.8439,13.21,0.099964,13.21
4,4.2038,8.17,3.7377,13.92,0.099937,13.92
5,4.124,9.43,3.5561,17.8,0.099901,17.8
6,4.0493,10.55,3.5472,18.59,0.099858,18.59
7,3.9856,12.37,3.3083,22.48,0.099807,22.48
8,3.903,13.3,3.1499,24.57,0.099748,24.57
9,3.8247,15.12,3.1073,26.89,0.099681,26.89
10,3.7675,16.13,2.9241,30.18,0.099606,30.18
11,3.7087,18.38,2.9808,30.08,0.099523,30.18
12,3.6493,19.4,2.934,31.1,0.099433,31.1
13,3.5879,20.78,2.9981,30.58,0.099334,31.1
14,3.5774,20.94,2.6336,37.3,0.099228,37.3
15,3.5293,22.35,2.539,39.44,0.099114,39.44
16,3.5016,23.99,2.4499,41.16,0.098993,41.16
17,3.4635,23.97,2.4463,42.0,0.098863,42.0
18,3.3971,25.54,2.4115,43.01,0.098726,43.01
19,3.4241,25.94,2.49,41.27,0.098582,43.01
20,3.3615,26.62,2.3474,44.48,0.098429,44.48
21,3.3456,27.0,2.567,39.84,0.098269,44.48
22,3.2899,28.49,2.2703,47.32,0.098101,47.32
23,3.2733,28.74,2.3342,44.61,0.097926,47.32
24,3.2156,30.49,2.3257,45.31,0.097743,47.32
25,3.2244,30.83,2.2143,48.39,0.097553,48.39
26,3.1842,31.98,2.2862,46.49,0.097355,48.39
27,3.2318,29.5,2.1664,48.91,0.09715,48.91
28,3.164,32.25,2.3335,45.83,0.096937,48.91
29,3.1496,31.62,2.1331,50.28,0.096716,50.28
30,3.0944,33.76,2.0849,51.16,0.096489,51.16
31,3.1188,33.4,2.206,49.26,0.096254,51.16
32,3.096,34.16,2.0944,51.91,0.096012,51.91
33,3.1145,33.73,2.0137,52.94,0.095762,52.94
34,3.0333,35.2,1.9981,53.61,0.095505,53.61
35,3.0754,34.95,2.1039,51.31,0.095241,53.61
36,3.0186,36.35,2.065,52.01,0.09497,53.61
37,3.0164,35.7,1.9747,54.14,0.094692,54.14
