epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5252,3.55,4.202,7.26,0.099996,7.26
2,4.3703,5.22,4.0527,8.55,0.099984,8.55
3,4.3028,6.45,3.8738,11.86,0.099964,11.86
4,4.2801,7.42,3.8593,11.29,0.099937,11.86
5,4.2162,8.13,3.7566,13.46,0.099901,13.46
6,4.1749,8.95,3.6511,15.87,0.099858,15.87
7,4.1141,9.98,3.6302,16.14,0.099807,16.14
8,4.0612,11.41,3.5873,17.3,0.099748,17.3
9,4.0624,10.91,3.5543,17.0,0.099681,17.3
10,3.9861,12.66,3.3543,21.49,0.099606,21.49
11,3.9655,13.09,3.262,22.54,0.099523,22.54
12,3.9318,13.94,3.1051,25.88,0.099433,25.88
13,3.8823,14.72,3.2953,22.24,0.099334,25.88
14,3.8785,15.33,3.0941,27.08,0.099228,27.08
15,3.8417,16.13,3.3338,22.72,0.099114,27.08
16,3.8099,16.97,3.3108,24.3,0.098993,27.08
17,3.772,16.94,3.3708,22.9,0.098863,27.08
18,3.7836,17.1,3.0134,30.35,0.098726,30.35
19,3.7416,18.4,3.832,21.47,0.098582,30.35
20,3.7015,19.24,2.7925,33.87,0.098429,33.87
21,3.7137,19.19,3.0327,29.67,0.098269,33.87
22,3.7038,19.05,2.9671,32.32,0.098101,33.87
23,3.6877,19.06,2.7728,34.83,0.097926,34.83
24,3.6453,21.15,2.8195,33.76,0.097743,34.83
25,3.6268,20.91,2.9134,33.13,0.097553,34.83
26,3.6829,19.7,2.5678,38.84,0.097355,38.84
27,3.6515,20.42,2.8851,34.11,0.09715,38.84
28,3.6186,20.74,2.931,31.8,0.096937,38.84
29,3.6012,21.34,2.8151,34.39,0.096716,38.84
30,3.5618,23.24,2.8591,35.64,0.096489,38.84
31,3.5736,23.0,2.8742,32.86,0.096254,38.84
32,3.5539,22.37,2.9059,34.42,0.096012,38.84
33,3.5405,23.75,3.0274,31.6,0.095762,38.84
34,3.5447,22.27,2.7498,35.9,0.095505,38.84
35,3.5612,22.84,2.7982,35.0,0.095241,38.84
36,3.4977,24.93,2.5983,38.19,0.09497,38.84
37,3.5435,23.68,2.726,36.73,0.094692,38.84
38,3.4934,25.05,2.5279,41.14,0.094407,41.14
39,3.527,23.79,2.8207,33.58,0.094115,41.14
40,3.4765,24.73,2.4312,42.91,0.093815,42.91
41,3.5175,24.12,2.5522,40.61,0.093509,42.91
42,3.4836,24.51,2.8267,35.87,0.093196,42.91
43,3.4482,26.45,2.6677,38.55,0.092876,42.91
44,3.5073,24.44,2.5336,40.01,0.09255,42.91
45,3.4771,25.33,2.5203,41.62,0.092216,42.91
46,3.4883,24.24,2.4083,44.1,0.091876,44.1
47,3.5018,23.94,2.8327,35.45,0.09153,44.1
48,3.5127,24.48,2.4818,42.17,0.091177,44.1
49,3.4865,24.83,2.507,41.61,0.090817,44.1
50,3.479,24.59,2.4903,41.45,0.090451,44.1
51,3.4008,27.45,2.6056,38.06,0.090078,44.1
52,3.4019,27.04,2.4575,42.6,0.0897,44.1
53,3.4565,25.88,2.3377,45.28,0.089314,45.28
54,3.4043,28.12,2.3952,45.86,0.088923,45.86
55,3.4149,27.29,2.4579,44.63,0.088526,45.86
56,3.4265,26.53,2.3821,44.54,0.088122,45.86
57,3.4,27.36,2.62,40.59,0.087713,45.86
58,3.4032,27.32,2.6765,41.68,0.087297,45.86
59,3.4165,27.62,2.4152,44.15,0.086876,45.86
60,3.3777,28.0,2.6131,39.38,0.086448,45.86
61,3.4062,25.95,2.3993,44.36,0.086015,45.86
62,3.3326,28.77,2.3836,45.52,0.085577,45.86
63,3.3671,28.14,2.2135,49.34,0.085132,49.34
64,3.3635,28.9,2.3158,46.22,0.084683,49.34
65,3.3722,27.54,2.2965,47.46,0.084227,49.34
66,3.3751,27.67,2.1952,49.31,0.083767,49.34
67,3.3381,28.25,2.1537,49.58,0.083301,49.58
68,3.3645,29.32,2.3583,46.9,0.082829,49.58
69,3.3053,29.56,2.393,46.59,0.082353,49.58
70,3.3038,28.79,2.1752,49.31,0.081871,49.58
71,3.3024,29.74,2.2336,47.94,0.081385,49.58
72,3.3557,28.58,2.4239,44.79,0.080893,49.58
73,3.2521,30.47,2.2285,48.91,0.080397,49.58
74,3.2949,29.43,2.3028,47.7,0.079895,49.58
75,3.2951,29.9,2.3992,45.57,0.079389,49.58
76,3.298,30.03,2.2287,49.14,0.078879,49.58
77,3.2668,31.71,2.2915,47.89,0.078363,49.58
78,3.2451,30.98,2.3809,48.18,0.077844,49.58
79,3.291,29.69,2.2473,50.15,0.07732,50.15
80,3.2785,30.03,2.111,52.3,0.076791,52.3
81,3.2366,32.06,2.1689,50.36,0.076259,52.3
82,3.2418,30.89,2.2511,49.09,0.075722,52.3
83,3.2785,30.86,2.4109,45.7,0.075181,52.3
84,3.2751,29.68,2.1912,50.82,0.074636,52.3
85,3.2599,32.01,2.1136,51.54,0.074088,52.3
86,3.2289,32.18,2.2379,49.99,0.073535,52.3
87,3.2632,31.1,2.2158,50.53,0.072979,52.3
88,3.2271,32.04,2.1904,50.86,0.072419,52.3
89,3.2165,33.13,2.0331,53.64,0.071856,53.64
90,3.1691,32.59,2.0013,55.27,0.071289,55.27
91,3.1633,32.99,2.0056,54.99,0.070719,55.27
92,3.2173,32.11,2.0184,54.58,0.070145,55.27
93,3.1828,32.99,1.9998,55.34,0.069569,55.34
94,3.1756,34.15,2.1016,53.45,0.068989,55.34
95,3.2339,32.12,2.2217,50.23,0.068406,55.34
96,3.152,34.55,2.0818,53.72,0.067821,55.34
97,3.1877,31.77,2.0127,55.34,0.067232,55.34
98,3.1766,33.28,2.3853,47.68,0.066641,55.34
99,3.074,36.56,2.0586,53.54,0.066047,55.34
100,3.1743,33.72,2.1449,53.68,0.065451,55.34
101,3.1311,33.77,2.0438,55.66,0.064852,55.66
102,3.1431,35.66,2.0403,56.12,0.064251,56.12
103,3.1351,34.19,2.1768,52.29,0.063648,56.12
104,3.1287,35.26,2.1533,53.54,0.063042,56.12
105,3.138,35.58,2.0811,54.16,0.062434,56.12
106,3.117,34.43,2.0253,54.23,0.061825,56.12
107,3.0559,37.33,2.1035,53.57,0.061214,56.12
108,3.1161,34.76,1.9664,56.71,0.0606,56.71
109,3.1104,36.05,1.9558,57.01,0.059985,57.01
110,3.0645,36.86,2.1599,53.12,0.059369,57.01
111,3.1028,35.25,1.9333,58.16,0.058751,58.16
112,3.0996,36.56,1.9149,58.28,0.058132,58.28
113,3.0015,38.57,1.9711,56.29,0.057511,58.28
114,3.0742,37.5,1.9509,57.17,0.05689,58.28
115,3.0264,37.67,1.9385,58.18,0.056267,58.28
116,3.0239,37.95,1.8965,59.11,0.055643,59.11
117,3.0292,38.62,2.1189,54.28,0.055018,59.11
118,3.0181,38.96,1.9765,56.37,0.054393,59.11
119,3.0164,39.43,1.8958,58.43,0.053766,59.11
120,3.0244,37.83,1.8645,59.6,0.05314,59.6
121,3.0081,37.62,1.9032,58.33,0.052512,59.6
122,3.0188,37.62,1.949,57.26,0.051885,59.6
123,2.9967,38.13,1.9567,57.43,0.051257,59.6
124,2.9928,39.11,1.8372,60.12,0.050628,60.12
125,2.9644,38.92,1.8671,59.96,0.05,60.12
126,2.9838,39.55,1.8708,58.71,0.049372,60.12
127,3.0126,37.0,1.8751,59.47,0.048743,60.12
128,2.9652,40.36,1.8365,60.64,0.048115,60.64
129,3.0141,36.96,1.8203,61.15,0.047488,61.15
130,2.964,38.47,1.8189,60.82,0.04686,61.15
131,2.99,39.2,1.7448,62.69,0.046234,62.69
132,2.9437,39.88,1.8663,60.28,0.045607,62.69
133,2.9735,39.1,1.7323,63.22,0.044982,63.22
134,2.959,38.79,1.8978,59.53,0.044357,63.22
135,2.9178,40.75,1.9242,58.77,0.043733,63.22
136,2.9301,39.97,1.8608,60.69,0.04311,63.22
137,2.9021,40.9,1.7525,62.51,0.042489,63.22
138,2.8987,40.61,1.8653,60.27,0.041868,63.22
139,2.861,43.31,1.765,62.35,0.041249,63.22
140,2.9169,40.76,1.7665,62.92,0.040631,63.22
141,2.9138,40.91,1.7429,62.73,0.040015,63.22
142,2.8395,43.81,1.7617,62.47,0.0394,63.22
143,2.8839,41.92,1.8028,61.45,0.038786,63.22
144,2.8708,41.71,1.6907,63.84,0.038175,63.84
145,2.8332,43.79,1.6889,64.45,0.037566,64.45
146,2.8663,43.25,1.7149,63.02,0.036958,64.45
147,2.874,42.25,1.736,62.94,0.036352,64.45
148,2.8257,42.91,1.6648,64.87,0.035749,64.87
149,2.8433,43.35,1.7036,63.84,0.035148,64.87
150,2.7732,45.88,1.7681,62.73,0.034549,64.87
151,2.838,42.91,1.7838,62.24,0.033953,64.87
152,2.7574,46.79,1.6928,64.54,0.033359,64.87
153,2.8524,43.08,1.7375,63.42,0.032768,64.87
154,2.7754,44.83,1.7042,65.33,0.032179,65.33
155,2.8221,45.93,1.6445,66.25,0.031594,66.25
156,2.7276,46.74,1.6213,65.95,0.031011,66.25
157,2.7483,46.76,1.6074,66.54,0.030431,66.54
158,2.7588,45.96,1.6314,65.97,0.029855,66.54
159,2.7675,45.14,1.6285,66.21,0.029281,66.54
160,2.755,45.91,1.5286,68.47,0.028711,68.47
161,2.7571,45.9,1.5654,67.7,0.028144,68.47
162,2.7075,46.87,1.6818,65.19,0.027581,68.47
163,2.7351,48.09,1.6043,67.0,0.027021,68.47
164,2.7365,46.31,1.5993,66.95,0.026465,68.47
165,2.7079,47.15,1.5946,67.36,0.025912,68.47
166,2.7037,47.25,1.6221,66.37,0.025364,68.47
167,2.6732,47.11,1.6073,66.95,0.024819,68.47
168,2.7192,47.01,1.5525,67.8,0.024278,68.47
169,2.6314,49.98,1.5386,68.84,0.023741,68.84
170,2.6436,50.54,1.5641,67.37,0.023209,68.84
171,2.6206,50.05,1.5595,68.83,0.02268,68.84
172,2.6225,48.08,1.5206,69.32,0.022156,69.32
173,2.6111,50.29,1.5562,68.76,0.021637,69.32
174,2.6631,48.21,1.5587,68.58,0.021121,69.32
175,2.5996,51.31,1.5211,69.28,0.020611,69.32
176,2.633,48.6,1.5676,68.6,0.020105,69.32
177,2.5974,53.1,1.5043,69.9,0.019603,69.9
178,2.6156,50.92,1.5528,69.13,0.019107,69.9
179,2.5804,49.17,1.5123,69.56,0.018615,69.9
180,2.5931,50.67,1.4426,71.52,0.018129,71.52
181,2.5383,52.33,1.5043,70.17,0.017647,71.52
182,2.458,57.13,1.5179,70.35,0.017171,71.52
183,2.505,53.07,1.4823,71.1,0.016699,71.52
184,2.6041,51.79,1.4601,71.14,0.016233,71.52
185,2.5499,52.68,1.4389,71.35,0.015773,71.52
186,2.5049,55.26,1.4412,71.89,0.015317,71.89
187,2.5076,53.56,1.5515,69.63,0.014868,71.89
188,2.496,53.31,1.4515,71.99,0.014423,71.99
189,2.4074,55.61,1.411,72.83,0.013985,72.83
190,2.5091,54.28,1.4637,72.05,0.013552,72.83
191,2.4553,54.87,1.5206,70.97,0.013124,72.83
192,2.4399,56.49,1.5423,70.86,0.012703,72.83
193,2.4271,59.22,1.4402,72.34,0.012287,72.83
194,2.4305,55.32,1.4491,72.62,0.011878,72.83
195,2.4241,58.75,1.4678,72.32,0.011474,72.83
196,2.4412,54.12,1.4757,72.55,0.011077,72.83
197,2.455,55.12,1.4614,73.03,0.010686,73.03
198,2.4197,56.09,1.4147,74.0,0.0103,74.0
199,2.3857,59.0,1.4625,73.45,0.009922,74.0
200,2.3484,59.26,1.4551,73.0,0.009549,74.0
201,2.3712,59.05,1.4415,73.18,0.009183,74.0
202,2.4294,55.82,1.4619,73.49,0.008823,74.0
203,2.3893,58.46,1.4366,73.45,0.00847,74.0
204,2.3947,56.96,1.4491,74.28,0.008124,74.28
205,2.3209,59.77,1.4533,73.59,0.007784,74.28
206,2.2925,60.31,1.4256,73.56,0.00745,74.28
207,2.295,60.58,1.4415,74.02,0.007124,74.28
208,2.3555,59.13,1.438,73.53,0.006804,74.28
209,2.2945,59.71,1.4015,74.77,0.006491,74.77
210,2.3587,59.39,1.4642,74.09,0.006185,74.77
211,2.2773,58.95,1.4818,74.06,0.005885,74.77
212,2.2998,58.91,1.4266,74.94,0.005593,74.94
213,2.3352,59.24,1.4516,74.73,0.005308,74.94
214,2.2465,62.1,1.425,74.7,0.00503,74.94
215,2.2025,62.49,1.4768,74.4,0.004759,74.94
216,2.262,60.3,1.4331,75.44,0.004495,75.44
217,2.3217,58.18,1.4593,74.99,0.004238,75.44
218,2.1429,65.63,1.4453,75.54,0.003988,75.54
219,2.2245,63.82,1.4357,75.26,0.003746,75.54
220,2.2296,65.01,1.4321,75.23,0.003511,75.54
221,2.1974,62.42,1.437,75.4,0.003284,75.54
222,2.1679,61.64,1.4485,74.83,0.003063,75.54
223,2.1993,61.79,1.4157,75.6,0.00285,75.6
224,2.2268,62.18,1.4859,75.06,0.002645,75.6
225,2.2408,59.92,1.4721,75.07,0.002447,75.6
