epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,model_architecture,timestamp
1,107.91400832164136,43.804704303982895,53.98,6.998445665152054e-05,0.0007998223617316634,0.0007998223617316634,3.7817649841308594,12.28567123413086,56.766605377197266,75.38,75.11,75.69,75.33,1.054053246974945,1.0317335958722271,1.0367868821832198,1.022467769399474,10.0,simpleAddition,densenet121,2025-09-02 08:38:27
2,102.07021351102033,41.879806615129304,73.1,6.993784194549054e-05,0.0007992896222341778,0.0007992896222341778,2.7733349800109863,10.813210487365723,51.41129684448242,75.98,75.37,75.83,75.55,1.0189138756522649,1.0203296617616582,1.003107998944536,1.0082526501220992,10.0,simpleAddition,densenet121,2025-09-02 08:39:39
3,97.29218287407598,41.231298205218735,75.92,6.986020188499701e-05,0.0007984023072571089,0.0007984023072571089,2.2647855281829834,7.903969764709473,48.850685119628906,76.13,75.56,76.31,75.85,1.0112129087689556,1.0144189015219482,0.9833914509302453,1.0051001415976994,10.0,simpleAddition,densenet121,2025-09-02 08:40:51
4,98.54481023474585,41.01413731635371,77.14,6.975161309140606e-05,0.0007971612924732122,0.0007971612924732122,3.0682430267333984,10.529043197631836,50.616912841796875,76.09,75.63,76.24,75.61,1.0048914830895919,1.0054744580123998,0.9877925213379196,0.9989547299433358,10.0,simpleAddition,densenet121,2025-09-02 08:42:03
5,95.96948821635186,41.4481551737725,77.4,6.961218272874684e-05,0.0007955678026142498,0.0007955678026142498,2.389294147491455,9.009502410888672,55.371620178222656,76.21,75.61,75.76,76.07,1.0059196647209456,1.027669754963887,1.005724388587324,1.0089453089086315,10.0,simpleAddition,densenet121,2025-09-02 08:43:15
6,94.80671194535267,41.39083504978615,77.77,6.94420483979537e-05,0.0007936234102623282,0.0007936234102623282,2.073817253112793,8.186939239501953,48.611568450927734,76.22,75.45,75.75,76.13,1.0009351357629028,1.032976413829417,1.0067133586617965,1.0042501680458649,10.0,simpleAddition,densenet121,2025-09-02 08:44:28
7,90.97320942939082,41.745318448996244,77.88,6.924137800107055e-05,0.0007913300342979493,0.0007913300342979493,2.9667975902557373,11.6863431930542,45.413150787353516,76.17,75.52,75.57,75.69,1.0199843471563315,1.0213968210582491,1.017872955225691,1.0181775319425366,10.0,simpleAddition,densenet121,2025-09-02 08:45:40
8,90.95934947532943,41.207391545742375,78.37,6.901036957555188e-05,0.0007886899380063074,0.0007886899380063074,2.7571051120758057,10.575366973876953,50.7859001159668,75.91,75.79,75.74,76.31,0.9954871203325972,1.0216601023191139,1.0141036706634714,0.9956835644154609,10.0,simpleAddition,densenet121,2025-09-02 08:46:53
9,87.42456692079955,41.806365121769,78.52,6.87492510988237e-05,0.0007857057268436997,0.0007857057268436997,1.871774435043335,6.708453178405762,51.721412658691406,76.26,75.3,75.82,75.42,1.013535127609591,1.0382409729535067,1.0211088747917851,1.0136702762374394,10.0,simpleAddition,densenet121,2025-09-02 08:48:05
10,89.96047785312315,42.32258576984647,78.1,6.845828026329733e-05,0.0007823803458662555,0.0007823803458662555,2.632810115814209,10.372943878173828,55.58213424682617,75.79,75.25,75.48,75.2,1.0279881682577012,1.0377442919755284,1.0445052407964874,1.0286507289620894,10.0,simpleAddition,densenet121,2025-09-02 08:49:17
11,89.57463522802425,42.5524470655224,78.0,6.813774422205809e-05,0.0007787170768235215,0.0007787170768235215,1.5675139427185059,6.7171525955200195,49.987545013427734,75.68,75.22,75.67,75.38,1.0393030982983262,1.0561062618146968,1.034905809390394,1.0284081237225593,10.0,simpleAddition,densenet121,2025-09-02 08:50:30
12,87.79264445244512,42.949550580374805,78.65,6.778795930547991e-05,0.0007747195349197708,0.0007747195349197708,1.9035205841064453,7.231784820556641,52.899593353271484,76.03,75.13,75.59,75.64,1.0429593747175192,1.063687861720218,1.0441414645955533,1.0490733377541168,10.0,simpleAddition,densenet121,2025-09-02 08:51:42
13,85.6868599517436,42.99478371535675,77.87,6.740927070904538e-05,0.0007703916652462335,0.0007703916652462335,2.982236385345459,11.181222915649414,48.90885925292969,75.69,75.07,75.55,75.49,1.0518360107759885,1.0661979649640336,1.0432037801682195,1.041914696934857,10.0,simpleAddition,densenet121,2025-09-02 08:52:54
14,87.19653856301609,43.83722875088076,78.2,6.700205215267959e-05,0.0007657377388877673,0.0007657377388877673,1.8049402236938477,7.2014265060424805,49.71259307861328,75.67,74.67,74.89,75.47,1.0613675057133543,1.0956290666061113,1.083994529669798,1.044012868706184,10.0,simpleAddition,densenet121,2025-09-02 08:54:06
