epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,model_architecture,timestamp
1,159.50546979300583,63.35445225389698,76.93,6.998445665152054e-05,0.0007998223617316634,0.0007998223617316634,3.369396686553955,12.52695083618164,82.93089294433594,75.02,74.46,74.95,75.13,1.052725781368304,1.0450989173937448,1.0370466558239129,1.0280968260161485,15.0,concatenation,densenet121,2025-09-02 08:38:38
2,150.49170955223374,61.632708585714994,77.05,6.993784194549054e-05,0.0007992896222341778,0.0007992896222341778,2.22470760345459,8.324825286865234,67.92501831054688,75.71,75.12,76.03,75.37,1.0126733478111556,1.0266377473179298,1.0064218210268625,1.0022506962848614,15.0,concatenation,densenet121,2025-09-02 08:39:59
3,145.56927306742608,60.8300113436542,77.67,6.986020188499701e-05,0.0007984023072571089,0.0007984023072571089,2.379418134689331,9.37659740447998,63.3560905456543,75.92,75.3,76.02,75.79,0.9894469395468507,1.0133915845351884,0.9978308360787886,0.9950706211826469,15.0,concatenation,densenet121,2025-09-02 08:41:19
4,146.03566954407512,60.719089459769336,78.48,6.975161309140606e-05,0.0007971612924732122,0.0007971612924732122,2.8897244930267334,10.4093656539917,64.51142120361328,76.15,75.56,76.34,76.32,0.9862853673439992,1.0306949079791201,0.9959306535841543,0.9751642203029198,15.0,concatenation,densenet121,2025-09-02 08:42:39
5,143.40667734266836,61.392909086203275,77.84,6.961218272874684e-05,0.0007955678026142498,0.0007955678026142498,2.2614738941192627,8.59707260131836,62.35948181152344,76.05,75.17,76.15,76.5,0.9989573299130307,1.0291031395332724,1.0053993146630782,0.9954452039320257,15.0,concatenation,densenet121,2025-09-02 08:43:58
6,141.22119971166683,61.643607417239416,77.58,6.94420483979537e-05,0.0007936234102623282,0.0007936234102623282,1.8768502473831177,7.1714043617248535,75.90572357177734,76.41,75.53,75.85,75.94,0.9985630927206595,1.0277922538262378,1.0078753640380087,1.0117958316320106,15.0,concatenation,densenet121,2025-09-02 08:45:17
7,135.6711162132553,61.98007173176053,78.39,6.924137800107055e-05,0.0007913300342979493,0.0007913300342979493,2.781008243560791,11.345548629760742,73.58798217773438,76.13,75.76,75.93,75.9,1.014583113827283,1.0177049440673636,1.0163691194751594,1.0192709904682786,15.0,concatenation,densenet121,2025-09-02 08:46:36
8,134.97455963907362,61.56847859636138,78.42,6.901036957555188e-05,0.0007886899380063074,0.0007886899380063074,2.414050340652466,9.623885154724121,68.62378692626953,76.04,75.76,75.55,76.22,0.9895425431336029,1.0204113857655586,1.0286565060856976,1.0031519313401813,15.0,concatenation,densenet121,2025-09-02 08:47:55
9,129.7782338782202,63.0369090309626,78.05,6.87492510988237e-05,0.0007857057268436997,0.0007857057268436997,1.8701473474502563,6.993079662322998,66.36027526855469,75.91,75.68,75.25,76.13,1.0259656272357023,1.0433527042594137,1.0428153253808807,1.024605467349668,15.0,concatenation,densenet121,2025-09-02 08:49:14
10,133.6115420377707,63.247086102449444,77.72,6.845828026329733e-05,0.0007823803458662555,0.0007823803458662555,3.290116786956787,12.21829605102539,73.47822570800781,75.63,75.74,75.65,76.18,1.0396401022053972,1.0369302177730995,1.0473183061503157,1.0259214368047593,15.0,concatenation,densenet121,2025-09-02 08:50:32
