epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,model_architecture,timestamp
1,9.27268153806276,4.256742266160023,53.9,6.998445665152054e-05,0.0007998223617316634,0.0007998223617316634,3.7600317001342773,12.278654098510742,5.1353678703308105,75.68,75.3,75.72,75.37,1.0243657993364939,1.0055439419384244,1.008638728268539,0.9966742871682855,0.5,simpleAddition,densenet121,2025-09-02 08:38:26
2,7.930935539776766,3.2751531812209116,74.25,6.993784194549054e-05,0.0007992896222341778,0.0007992896222341778,2.7397847175598145,10.89215087890625,3.895681619644165,75.87,75.67,75.98,75.91,1.0100839960424206,1.0068605987331536,0.9928897234457957,0.9929524833642984,0.5,simpleAddition,densenet121,2025-09-02 08:39:39
3,7.364401455166973,3.066719381115105,76.49,6.986020188499701e-05,0.0007984023072571089,0.0007984023072571089,2.19406795501709,7.822899341583252,3.6767728328704834,76.14,75.94,76.51,75.96,1.005679710001885,1.0168089904362643,0.9818522590625135,1.0046831791913962,0.5,simpleAddition,densenet121,2025-09-02 08:40:51
4,7.394357119934468,3.0255673716339886,77.7,6.975161309140606e-05,0.0007971612924732122,0.0007971612924732122,3.0276923179626465,10.431550025939941,3.507896900177002,76.04,75.64,76.29,75.86,1.0082472064827062,1.0151751320573348,0.9997196816190889,1.0048861994019038,0.5,simpleAddition,densenet121,2025-09-02 08:42:03
5,7.160816108124165,3.007566273966922,77.99,6.961218272874684e-05,0.0007955678026142498,0.0007955678026142498,2.370814323425293,8.95551586151123,4.11176872253418,75.86,75.48,75.71,76.34,1.0192416023604478,1.0435748070101194,1.0215993161442913,1.0280073187019252,0.5,simpleAddition,densenet121,2025-09-02 08:43:14
6,7.067514153975475,3.017665515972089,77.63,6.94420483979537e-05,0.0007936234102623282,0.0007936234102623282,2.007840156555176,8.117789268493652,3.7557592391967773,76.01,75.15,75.23,75.78,1.0164412463767618,1.056047659131545,1.0418188043787509,1.0189799862571909,0.5,simpleAddition,densenet121,2025-09-02 08:44:26
7,6.7556513955321496,3.0521901679944388,78.2,6.924137800107055e-05,0.0007913300342979493,0.0007913300342979493,2.921015501022339,11.71571159362793,3.368460178375244,75.89,75.38,75.55,75.45,1.0432620146606542,1.0376112061210825,1.055142593534687,1.0426071482368662,0.5,simpleAddition,densenet121,2025-09-02 08:45:39
8,6.75274564948263,3.000474362433711,78.29,6.901036957555188e-05,0.0007886899380063074,0.0007886899380063074,2.6786048412323,10.582780838012695,3.851170063018799,76.04,75.39,75.41,76.19,1.0152496763422518,1.0499201605591593,1.0459813249262073,1.018562830701659,0.5,simpleAddition,densenet121,2025-09-02 08:46:51
9,6.478063692020465,3.04638150975674,78.75,6.87492510988237e-05,0.0007857057268436997,0.0007857057268436997,1.7786173820495605,6.8581743240356445,3.955169677734375,75.77,74.94,75.1,75.14,1.0401982348176497,1.0687742602976062,1.0645775334744514,1.0401128500322752,0.5,simpleAddition,densenet121,2025-09-02 08:48:03
10,6.672511951832831,3.069286615033693,78.54,6.845828026329733e-05,0.0007823803458662555,0.0007823803458662555,2.6444456577301025,10.39803409576416,3.9159088134765625,75.48,74.67,74.75,74.96,1.0522146255155154,1.0722923195814784,1.0863409276250042,1.0515233376358128,0.5,simpleAddition,densenet121,2025-09-02 08:49:15
11,6.622511516643476,3.1223379931872404,77.95,6.813774422205809e-05,0.0007787170768235215,0.0007787170768235215,1.5225498676300049,6.74743127822876,3.7232165336608887,75.24,74.61,74.91,75.08,1.0667380569856377,1.098432702354238,1.0698970148835,1.0617162034481387,0.5,simpleAddition,densenet121,2025-09-02 08:50:28
12,6.496514263032358,3.094488916517813,78.75,6.778795930547991e-05,0.0007747195349197708,0.0007747195349197708,1.808760166168213,7.323132038116455,3.8112587928771973,75.49,74.93,75.28,74.99,1.0579633705223663,1.09177232920369,1.079761556432217,1.0726418630986274,0.5,simpleAddition,densenet121,2025-09-02 08:51:40
13,6.338376425489595,3.150939651682407,78.0,6.740927070904538e-05,0.0007703916652462335,0.0007703916652462335,2.9261772632598877,11.338113784790039,3.6629204750061035,74.78,74.22,75.06,75.32,1.0799907332734218,1.1067846945569486,1.084728781935535,1.0729622757887538,0.5,simpleAddition,densenet121,2025-09-02 08:52:52
14,6.451908926420574,3.184559825100476,78.25,6.700205215267959e-05,0.0007657377388877673,0.0007657377388877673,1.7597219944000244,7.176144599914551,3.589346408843994,74.99,74.16,74.29,74.78,1.0807475176038621,1.119465907917747,1.1241658586490004,1.0671639653700817,0.5,simpleAddition,densenet121,2025-09-02 08:54:04
15,6.087927939016608,3.1966548358337787,78.13,6.656670551193356e-05,0.0007607623487078127,0.0007607623487078127,2.7290573120117188,10.708854675292969,4.121222496032715,75.58,73.81,74.65,74.65,1.0869465938097314,1.1255828044082545,1.113297064847584,1.108464720882947,0.5,simpleAddition,densenet121,2025-09-02 08:55:16
16,6.0784695359724985,3.209594497197791,78.23,6.610366042138166e-05,0.0007554704048157912,0.0007554704048157912,1.6734986305236816,6.792234420776367,3.6608681678771973,74.8,73.77,74.53,74.63,1.0861198954944369,1.1292987971366206,1.1145139163053488,1.1093371714217752,0.5,simpleAddition,densenet121,2025-09-02 08:56:27
17,6.12965168530428,3.2457205102413513,78.34,6.561337385062419e-05,0.0007498671297214201,0.0007498671297214201,1.9703891277313232,8.331932067871094,3.99301815032959,74.74,73.36,74.0,74.76,1.1095424302016632,1.1500356793403625,1.1504308656801152,1.1082628135439716,0.5,simpleAddition,densenet121,2025-09-02 08:57:39
18,6.103288599207431,3.251938321922399,78.12,6.509632965331344e-05,0.0007439580531807258,0.0007439580531807258,3.0128731727600098,11.773683547973633,3.4781432151794434,74.96,73.75,73.46,74.27,1.10025937798657,1.14062507318545,1.1560985114001021,1.1140249069732955,0.5,simpleAddition,densenet121,2025-09-02 08:58:51
19,6.003152264824396,3.2428792036032377,77.95,6.455303808964865e-05,0.0007377490067388427,0.0007377490067388427,2.130702257156372,8.261981010437012,3.934654712677002,74.61,73.92,74.4,73.79,1.1071041158483,1.132656676105306,1.1337246796752833,1.1313505565063864,0.5,simpleAddition,densenet121,2025-09-02 09:00:03
20,6.024629553662071,3.354760091516036,77.5,6.39840353228108e-05,0.0007312461179749815,0.0007312461179749815,2.57574462890625,10.295571327209473,3.5569424629211426,74.32,73.43,73.71,73.8,1.1275600391098215,1.1595292544063134,1.1701483409616011,1.1539342403411865,0.5,simpleAddition,densenet121,2025-09-02 09:01:15
21,5.798052999037731,3.278227335290064,77.83,6.33898828898342e-05,0.0007244558044552489,0.0007244558044552489,1.698439121246338,6.893815040588379,3.585777997970581,74.21,73.01,73.77,74.26,1.1133509625362445,1.1586411044567446,1.161614153204085,1.1291946233073367,0.5,simpleAddition,densenet121,2025-09-02 09:02:28
22,6.110050913653796,3.3393748379960844,77.71,6.277116714743732e-05,0.0007173847673992845,0.0007173847673992845,3.0290307998657227,12.014928817749023,3.513354778289795,73.89,73.3,73.49,73.81,1.160973215404945,1.169864885414703,1.190391419809076,1.1335941175871258,0.5,simpleAddition,densenet121,2025-09-02 09:03:40
23,6.07549945614006,3.283158269109605,77.71,6.212849869335943e-05,0.0007100399850669658,0.0007100399850669658,2.4820556640625,10.443142890930176,3.755584716796875,74.27,73.71,73.9,73.99,1.1312047929703435,1.1513451277455198,1.161137407339072,1.1293041238301917,0.5,simpleAddition,densenet121,2025-09-02 09:04:51
24,5.929396562938448,3.281581573848483,77.94,6.146251176377441e-05,0.0007024287058717085,0.0007024287058717085,2.50459623336792,9.998851776123047,3.9759860038757324,74.63,73.39,73.79,74.29,1.1321720827983905,1.1570174512983877,1.160857781579223,1.119556392295451,0.5,simpleAddition,densenet121,2025-09-02 09:06:03
25,5.931562595729586,3.3039261811896217,78.0,6.077386360737619e-05,0.0006945584412271574,0.0006945584412271574,1.7269036769866943,7.278595447540283,4.146352291107178,74.51,73.34,73.39,74.1,1.1439888869659811,1.1822160225880296,1.1795832243146775,1.1487641538245768,0.5,simpleAddition,densenet121,2025-09-02 09:07:15
26,5.959737762620177,3.2925970192197003,78.17,6.006323383675364e-05,0.0006864369581343283,0.0006864369581343283,2.322723388671875,9.40359115600586,3.815708637237549,74.67,73.14,73.81,73.98,1.1251143367984626,1.1629124578041365,1.168929891495765,1.135222917116141,0.5,simpleAddition,densenet121,2025-09-02 09:08:27
27,5.923710328114184,3.409281359443182,78.05,5.933132375769498e-05,0.000678072271516515,0.000678072271516515,1.9798132181167603,8.086299896240234,4.386025428771973,73.85,72.37,73.48,73.65,1.1561967904054666,1.2019949940186512,1.1929001340383216,1.1675316895110697,0.5,simpleAddition,densenet121,2025-09-02 09:09:39
28,5.633675560166564,3.3615931589392165,77.79,5.857885567708368e-05,0.0006694726363095287,0.0006694726363095287,2.8430633544921875,11.160039901733398,4.416733741760254,74.24,72.28,73.85,73.94,1.1369812994063655,1.1779440286793286,1.159602095809164,1.137431969371023,0.5,simpleAddition,densenet121,2025-09-02 09:10:51
29,5.714865044702457,3.3592937777314007,77.71,5.780657219006872e-05,0.000660646539315072,0.000660646539315072,2.228393793106079,9.188104629516602,4.085387706756592,73.74,72.59,73.58,73.44,1.165916261793692,1.1753251597851138,1.1746193268631078,1.1647951821737652,0.5,simpleAddition,densenet121,2025-09-02 09:12:03
30,5.574189409424987,3.437137748621687,77.93,5.701523544721287e-05,0.0006516026908252908,0.0006516026908252908,2.4149856567382812,10.17566204071045,4.311097145080566,73.83,73.08,73.33,73.84,1.1826303125936775,1.1973174455799633,1.189906985699376,1.1785767153848576,0.5,simpleAddition,densenet121,2025-09-02 09:13:15
31,5.671201983584633,3.33470833452442,78.01,5.620562640234208e-05,0.0006423500160267675,0.0006423500160267675,2.1436386108398438,8.913554191589355,4.717537879943848,73.96,72.69,73.46,74.12,1.1620990279354626,1.1891756646240814,1.1850678551046154,1.1495142186744303,0.5,simpleAddition,densenet121,2025-09-02 09:14:28
32,5.8604799493958675,3.331423919412154,78.0,5.537854404183835e-05,0.0006328976461924392,0.0006328976461924392,2.0827388763427734,8.751537322998047,4.306676864624023,74.05,73.22,73.6,74.07,1.1625971635685692,1.1598340861404999,1.181421246709703,1.1351509365854384,0.5,simpleAddition,densenet121,2025-09-02 09:15:39
33,5.775493703311002,3.4384997736049603,77.39,5.4534804596136655e-05,0.0006232549096701341,0.0006232549096701341,2.4717824459075928,10.132871627807617,4.457208156585693,73.99,72.15,73.6,73.46,1.1726694024061854,1.19645926469489,1.19683772099169,1.166700563098811,0.5,simpleAddition,densenet121,2025-09-02 09:16:51
34,5.648359395280669,3.4503215868261794,77.44,5.367524073420399e-05,0.0006134313226766178,0.0006134313226766178,2.8809726238250732,11.991002082824707,4.32588005065918,73.38,72.56,73.27,73.84,1.1971836482422262,1.1908040559744533,1.1921998352944096,1.1679700198052805,0.5,simpleAddition,densenet121,2025-09-02 09:18:03
35,5.715422569950925,3.3993382272841055,77.59,5.280070074179569e-05,0.0006034365799062372,0.0006034365799062372,1.903388500213623,7.7782464027404785,4.52903413772583,73.85,72.99,72.72,73.42,1.1652226448059082,1.1791908748542206,1.2054350821277764,1.188086851488186,0.5,simpleAddition,densenet121,2025-09-02 09:19:15
36,5.5036289329770245,3.3818966799144503,78.06,5.191204768429975e-05,0.0005932805449634266,0.0005932805449634266,2.369387149810791,9.92989730834961,4.287942886352539,73.83,72.82,73.1,73.73,1.1596914575069766,1.1621467916271355,1.1965694789645038,1.160358519493779,0.5,simpleAddition,densenet121,2025-09-02 09:20:27
37,5.595785463912578,3.401029701474347,77.95,5.101015855499556e-05,0.0005829732406285214,0.0005829732406285214,1.6819961071014404,7.135122776031494,4.214995861053467,73.24,72.54,72.92,73.55,1.1983195150954813,1.1988376597814923,1.224186205411259,1.1627652562117274,0.5,simpleAddition,densenet121,2025-09-02 09:21:39
