epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,model_architecture,timestamp
21,9.62758406506309,5.481475564497936,77.99,6.33898828898342e-05,0.0007244558044552489,0.0007244558044552489,1.730769395828247,6.773768424987793,6.427290916442871,74.65,73.85,74.16,74.33,1.106035153322582,1.1383420862729037,1.1385945994642717,1.1212364405016355,1.0,simpleAddition,densenet121,2025-09-02 09:02:27
22,10.151718556126461,5.648329789125467,77.83,6.277116714743732e-05,0.0007173847673992845,0.0007173847673992845,2.9903340339660645,11.746246337890625,6.1579437255859375,74.15,73.54,73.52,73.81,1.1517293038247507,1.1586378314827062,1.1843586707416969,1.1353942683980436,1.0,simpleAddition,densenet121,2025-09-02 09:03:39
23,10.097710567184642,5.550889419603951,77.69,6.212849869335943e-05,0.0007100399850669658,0.0007100399850669658,2.507816791534424,10.27708625793457,6.598114967346191,74.52,73.73,73.89,73.84,1.121572473381139,1.1373964812182173,1.1467944353441648,1.1391885159890862,1.0,simpleAddition,densenet121,2025-09-02 09:04:51
24,9.854117152057116,5.527390461933764,78.0,6.146251176377441e-05,0.0007024287058717085,0.0007024287058717085,2.503052234649658,10.016813278198242,6.856003761291504,74.48,73.45,74.41,74.18,1.1253692779359938,1.1428596483001225,1.1494204832028738,1.1152390151084224,1.0,simpleAddition,densenet121,2025-09-02 09:06:03
25,9.852001594591744,5.570404777043982,78.17,6.077386360737619e-05,0.0006945584412271574,0.0006945584412271574,1.772134780883789,7.321279048919678,6.734706401824951,74.71,73.57,74.05,74.06,1.140091588980035,1.1715164380737497,1.158421127102043,1.1310605308677577,1.0,simpleAddition,densenet121,2025-09-02 09:07:15
26,9.895610157447525,5.549810886383057,78.36,6.006323383675364e-05,0.0006864369581343283,0.0006864369581343283,2.274890422821045,9.225893020629883,6.217144012451172,74.83,73.57,74.17,74.14,1.1203020637548422,1.1528155418890942,1.1543037121808981,1.126735409603843,1.0,simpleAddition,densenet121,2025-09-02 09:08:27
27,9.841384030595611,5.713542769226847,78.05,5.933132375769498e-05,0.000678072271516515,0.000678072271516515,2.018707752227783,8.15235710144043,7.498532295227051,74.09,72.56,74.2,74.18,1.155241387554362,1.1878658246390428,1.1784343561039696,1.1486903383762022,1.0,simpleAddition,densenet121,2025-09-02 09:09:39
28,9.351716156247296,5.607818090462986,78.14,5.857885567708368e-05,0.0006694726363095287,0.0006694726363095287,2.7767608165740967,10.91258430480957,7.417021751403809,74.17,73.03,74.07,74.2,1.1350462180149705,1.152658138094069,1.1503748825833768,1.1134593773491774,1.0,simpleAddition,densenet121,2025-09-02 09:10:51
29,9.510159848611567,5.668711683418177,77.82,5.780657219006872e-05,0.000660646539315072,0.000660646539315072,2.217834711074829,9.103632926940918,7.174359321594238,74.13,73.16,73.85,73.45,1.1524236390862284,1.1669562398632871,1.175429802906664,1.15756339362905,1.0,simpleAddition,densenet121,2025-09-02 09:12:03
30,9.268231989462164,5.783337707760968,78.17,5.701523544721287e-05,0.0006516026908252908,0.0006516026908252908,2.4340829849243164,9.951557159423828,7.40416145324707,73.96,73.03,73.5,73.62,1.1730770966674708,1.1942485110669196,1.1882700988009005,1.1686498952817312,1.0,simpleAddition,densenet121,2025-09-02 09:13:15
31,9.430704907525945,5.681844198251072,77.99,5.620562640234208e-05,0.0006423500160267675,0.0006423500160267675,2.1255083084106445,9.010549545288086,8.09057903289795,74.17,72.84,73.44,73.89,1.1579027885123143,1.1827462828612025,1.1920050714589372,1.1550103765499742,1.0,simpleAddition,densenet121,2025-09-02 09:14:28
32,9.737146975118902,5.63622328601306,78.01,5.537854404183835e-05,0.0006328976461924392,0.0006328976461924392,2.1083366870880127,8.667680740356445,7.460862636566162,74.19,73.1,73.85,73.75,1.1538771240017083,1.1591971788225295,1.1700116946727415,1.136344837991497,1.0,simpleAddition,densenet121,2025-09-02 09:15:40
33,9.61468153965624,5.764525624770153,77.45,5.4534804596136655e-05,0.0006232549096701341,0.0006232549096701341,2.417407751083374,10.134947776794434,7.600672245025635,74.08,72.83,73.77,73.37,1.1625006832653964,1.184066099456594,1.1850835680961609,1.1565008397343792,1.0,simpleAddition,densenet121,2025-09-02 09:16:52
34,9.409397209746928,5.832660288750371,77.65,5.367524073420399e-05,0.0006134313226766178,0.0006134313226766178,2.9162492752075195,12.175989151000977,7.261788845062256,73.84,73.02,73.41,73.72,1.1961251278466816,1.1948360823377777,1.1948411359062678,1.1634537736071815,1.0,simpleAddition,densenet121,2025-09-02 09:18:03
35,9.510038786296603,5.752596179141274,77.65,5.280070074179569e-05,0.0006034365799062372,0.0006034365799062372,1.9693963527679443,7.889446258544922,7.520726680755615,73.75,73.24,72.98,73.32,1.164241983920713,1.1782543432863453,1.198052457616299,1.1761380856550192,1.0,simpleAddition,densenet121,2025-09-02 09:19:15
36,9.148834813999224,5.705916700483877,78.02,5.191204768429975e-05,0.0005932805449634266,0.0005932805449634266,2.3495073318481445,9.672075271606445,7.091239929199219,74.23,73.24,73.26,73.98,1.1570718703390677,1.1538866599903832,1.1918854645535917,1.1529811764065223,1.0,simpleAddition,densenet121,2025-09-02 09:20:27
37,9.308499493176424,5.754343407063544,77.88,5.101015855499556e-05,0.0005829732406285214,0.0005829732406285214,1.7043890953063965,7.099151611328125,7.172858715057373,73.89,73.1,73.13,73.79,1.1879200535484506,1.190976420535317,1.2122729812996298,1.1575832472571843,1.0,simpleAddition,densenet121,2025-09-02 09:21:38
38,9.492692482622363,5.851344669921489,77.55,5.009592340956733e-05,0.0005725248389664845,0.0005725248389664845,2.5151729583740234,10.051785469055176,6.8557047843933105,73.22,73.07,73.06,73.83,1.2129458181465729,1.1966245642191247,1.2373540597625925,1.1669359154339078,1.0,simpleAddition,densenet121,2025-09-02 09:22:50
39,8.999666346779353,5.7556391003765635,77.7,4.917024448772665e-05,0.0005619456512883054,0.0005619456512883054,2.413562297821045,9.923650741577148,7.096812725067139,74.04,72.87,73.35,73.73,1.1743416816373415,1.1739759958243068,1.192324399193631,1.164767973785159,1.0,simpleAddition,densenet121,2025-09-02 09:24:02
40,9.198415901087508,5.757848908629598,78.12,4.823403532281082e-05,0.0005512461179749816,0.0005512461179749816,1.606404423713684,6.792659282684326,6.821541786193848,73.52,73.03,73.61,74.22,1.176427501666395,1.1823165356358396,1.1954662083070489,1.1490038791789283,1.0,simpleAddition,densenet121,2025-09-02 09:25:14
41,9.363580498514295,5.800591879253146,77.77,4.72882198402357e-05,0.0005404367981741231,0.0005404367981741231,2.5281147956848145,10.067680358886719,7.09078311920166,73.32,72.68,73.4,74.08,1.1960932235174542,1.209352143203156,1.1979109825967234,1.1680248689047898,1.0,simpleAddition,densenet121,2025-09-02 09:26:27
42,8.905020321471781,5.833835644058034,77.6,4.63337314456929e-05,0.0005295283593793481,0.0005295283593793481,1.2137985229492188,4.698480129241943,7.360637664794922,73.52,72.92,73.18,73.85,1.1930855708786203,1.1911214333546312,1.2200073728078529,1.1759512416924103,1.0,simpleAddition,densenet121,2025-09-02 09:27:38
43,9.345146082624604,5.859341241136382,77.66,4.537151210399107e-05,0.0005185315669027559,0.0005185315669027559,2.3398337364196777,9.842216491699219,7.376724720001221,73.58,72.19,72.91,73.58,1.198775576639779,1.2209498233433012,1.2240535805496988,1.1785147725781309,1.0,simpleAddition,densenet121,2025-09-02 09:28:51
44,9.3734510276891,5.790703894216803,78.0,4.440251140945031e-05,0.0005074572732508615,0.0005074572732508615,1.6723546981811523,6.887656211853027,6.9422149658203125,73.95,72.82,73.4,74.1,1.1884106043018872,1.1801522834391533,1.205941534495052,1.1650357057776632,1.0,simpleAddition,densenet121,2025-09-02 09:30:02
45,9.308038500290882,5.86941381647617,77.71,4.342768564876726e-05,0.0004963164074144838,0.0004963164074144838,2.3374905586242676,9.559911727905273,6.451566219329834,73.17,72.66,73.21,73.94,1.2151133123832414,1.198267309726039,1.20567116858084,1.1714013120796107,1.0,simpleAddition,densenet121,2025-09-02 09:31:14
46,9.014859736720219,5.8399194946771935,77.96,4.2447996857275574e-05,0.00048511996408315023,0.00048511996408315023,2.340412139892578,10.028877258300781,6.496144771575928,73.84,72.42,73.26,73.72,1.186469689200196,1.2173400091219553,1.2203051146072676,1.1811097120936913,1.0,simpleAddition,densenet121,2025-09-02 09:32:26
47,8.866101868544952,5.840247619001171,77.8,4.1464411869533184e-05,0.00047387899279466576,0.00047387899279466576,2.5053462982177734,10.37569522857666,6.667373180389404,73.77,72.79,73.67,73.55,1.195594600484341,1.197713946994347,1.2058623832992361,1.1696787891508658,1.0,simpleAddition,densenet121,2025-09-02 09:33:37
48,8.76703112034858,5.8291205816631075,77.98,4.0477901365173356e-05,0.0004626045870305535,0.0004626045870305535,1.9829459190368652,7.983759880065918,6.174712657928467,73.25,72.9,73.58,73.7,1.201921759526941,1.1980447022220757,1.2067978887618342,1.1775360190415685,1.0,simpleAddition,densenet121,2025-09-02 09:34:49
49,8.977202439609963,5.819994316825384,77.73,3.948943891096102e-05,0.00045130787326812683,0.00045130787326812683,1.1918845176696777,4.770698547363281,6.906057357788086,73.76,72.72,73.46,73.9,1.1788299672211273,1.19306033095227,1.1986601903468748,1.1610803581491302,1.0,simpleAddition,densenet121,2025-09-02 09:36:01
50,9.099309703971766,5.743002251733707,78.47,3.849999999999998e-05,0.0004400000000000006,0.0004400000000000006,2.2754578590393066,9.747623443603516,6.508515357971191,73.52,73.18,73.45,74.13,1.190585784519775,1.1894868242589733,1.1930264830589294,1.153097066698195,1.0,simpleAddition,densenet121,2025-09-02 09:37:13
51,8.940218834937374,5.808856070796145,78.0,3.751056108903894e-05,0.0004286921267318744,0.0004286921267318744,2.4661285877227783,9.900712013244629,7.132617473602295,73.67,72.54,73.08,73.79,1.187813786011708,1.204721843894524,1.2118740225140052,1.1511255940304528,1.0,simpleAddition,densenet121,2025-09-02 09:38:25
52,9.157246390475503,5.8105163091345675,78.1,3.6522098634826605e-05,0.00041739541296944774,0.00041739541296944774,2.276771068572998,9.622673988342285,7.183403491973877,73.41,72.81,73.44,73.95,1.2028575773480572,1.1959228357182274,1.2026918100405344,1.1585860644714743,1.0,simpleAddition,densenet121,2025-09-02 09:39:37
53,9.105931179432929,5.821771917463858,77.43,3.553558813046677e-05,0.00040612100720533535,0.00040612100720533535,1.7328500747680664,7.342267990112305,6.970824241638184,73.12,72.6,73.2,73.54,1.2066818732249587,1.1888196996495695,1.2042860803724844,1.1693426287626918,1.0,simpleAddition,densenet121,2025-09-02 09:40:48
54,8.43680370306667,5.8250164744220205,77.85,3.4552003142724386e-05,0.000394880035916851,0.000394880035916851,1.1844618320465088,4.871521949768066,6.898305892944336,73.48,72.84,73.27,74.07,1.204303294797487,1.2068128397193136,1.2042476700831064,1.1723653153528142,1.0,simpleAddition,densenet121,2025-09-02 09:42:00
55,8.904114910318881,5.794001488745967,78.39,3.3572314351232697e-05,0.00038368359258551734,0.00038368359258551734,1.4025681018829346,5.63596773147583,6.5556111335754395,73.64,72.6,73.19,74.01,1.2042078556893747,1.193787222421622,1.215678650367109,1.1589732305913032,1.0,simpleAddition,densenet121,2025-09-02 09:43:11
56,8.849495664427552,5.772450266005118,77.97,3.2597488590549644e-05,0.00037254272674913956,0.00037254272674913956,2.6180641651153564,11.039007186889648,6.4358062744140625,73.27,72.82,73.12,74.15,1.2131958943379075,1.2008831855616993,1.207376246210895,1.1506437108486514,1.0,simpleAddition,densenet121,2025-09-02 09:44:23
57,8.51857589769967,5.893082262594489,78.05,3.162848789600889e-05,0.0003614684330972452,0.0003614684330972452,2.5349888801574707,10.98924732208252,6.9177775382995605,73.2,72.45,73.04,73.64,1.2179332662232314,1.2100730357290823,1.2122233245946183,1.1839788065680974,1.0,simpleAddition,densenet121,2025-09-02 09:45:35
58,8.946218092230302,5.81482522095306,77.93,3.066626855430704e-05,0.00035047164062065265,0.00035047164062065265,2.106336832046509,8.628740310668945,6.463529109954834,73.71,72.8,73.0,73.87,1.1882304005985018,1.2036400565618202,1.2131180212467532,1.1695222650902182,1.0,simpleAddition,densenet121,2025-09-02 09:46:46
59,9.198994956439055,5.843399090102956,78.03,2.9711780159764252e-05,0.00033956320182587787,0.00033956320182587787,1.374642252922058,5.956607818603516,6.797348499298096,72.93,72.56,73.22,73.78,1.2140244305888308,1.2108363064029548,1.2197074618520616,1.174527861649477,1.0,simpleAddition,densenet121,2025-09-02 09:47:58
60,8.92342569858213,5.846258567858346,77.4,2.8765964677189137e-05,0.00032875388202501936,0.00032875388202501936,1.9391000270843506,8.09394359588623,6.634336471557617,73.42,72.53,73.22,73.75,1.2061544219149818,1.2069597636597067,1.2142103593560714,1.1818335154388524,1.0,simpleAddition,densenet121,2025-09-02 09:49:10
61,8.882452469837817,5.87003718146795,77.91,2.7829755512273295e-05,0.00031805434871169544,0.00031805434871169544,1.7431902885437012,7.371898651123047,7.226830959320068,73.89,72.47,73.19,74.25,1.2023183922224407,1.219367495066003,1.2345519458191305,1.1676017166693,1.0,simpleAddition,densenet121,2025-09-02 09:50:23
62,8.349677701539632,5.798878042003777,77.85,2.6904076590432627e-05,0.00030747516103351636,0.00030747516103351636,2.059560775756836,8.910093307495117,7.055511474609375,73.3,72.99,72.96,74.34,1.2074413971055913,1.207158880143226,1.2185410645943653,1.1575237482408933,1.0,simpleAddition,densenet121,2025-09-02 09:51:34
63,8.854683350913133,5.859599656696561,77.86,2.598984144500438e-05,0.00029702675937147926,0.00029702675937147926,2.604170799255371,10.528292655944824,7.296222686767578,73.47,72.46,73.08,73.94,1.212750749497474,1.218850642819948,1.2296923172624805,1.1691191815122772,1.0,simpleAddition,densenet121,2025-09-02 09:52:45
64,8.557973686652847,5.916315054591698,77.67,2.5087952315700184e-05,0.0002867194550365741,0.0002867194550365741,2.464754104614258,10.485237121582031,7.515398025512695,73.31,72.64,73.14,73.77,1.2164413310304474,1.2191892734056786,1.2360836403279365,1.1839099994188622,1.0,simpleAddition,densenet121,2025-09-02 09:53:57
65,9.014151868940909,5.8871791272223755,77.64,2.4199299258204253e-05,0.00027656342009376345,0.00027656342009376345,2.320117950439453,9.827268600463867,7.20331335067749,73.28,72.74,73.29,73.81,1.2155931954142414,1.2197615821150285,1.2263247898862333,1.1758624005921279,1.0,simpleAddition,densenet121,2025-09-02 09:55:09
66,8.88636683210542,5.901807302161108,78.0,2.3324759265795942e-05,0.0002665686773233827,0.0002665686773233827,2.5612401962280273,10.931072235107422,7.6046881675720215,73.16,72.39,73.46,73.82,1.2117006695723231,1.225702036785174,1.220366466648971,1.176191967499407,1.0,simpleAddition,densenet121,2025-09-02 09:56:20
67,8.652789828143542,5.8132326512397094,77.73,2.2465195403863282e-05,0.0002567450903298666,0.0002567450903298666,2.227208375930786,8.953390121459961,7.545821189880371,73.23,72.56,73.16,73.63,1.2013784186749519,1.2049466537523874,1.2192944718312613,1.173320852502992,1.0,simpleAddition,densenet121,2025-09-02 09:57:31
